,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
43,AS Monaco,Midfielder,Cesc Fàbregas,"May 4, 1987 (32)",Spain,30.06.2022,£13.50m,Ligue 1
44,AS Monaco,Midfielder,Adrien Silva,"Mar 15, 1989 (30)",Portugal,30.06.2020,£11.70m,Ligue 1
45,AS Monaco,Midfielder,Enzo Millot,"Jul 17, 2002 (17)",France,30.06.2022,-,Ligue 1
46,AS Monaco,Midfielder,Aleksandr Golovin,"May 30, 1996 (23)",Russia,30.06.2023,£22.50m,Ligue 1
47,AS Monaco,Midfielder,Gabriel Boschilia,"Mar 5, 1996 (23)",Brazil,30.06.2021,£6.75m,Ligue 1
48,AS Monaco,Forward,Keita Baldé,"Mar 8, 1995 (24)",Senegal,30.06.2022,£22.50m,Ligue 1
49,AS Monaco,Forward,Henry Onyekuru,"Jun 5, 1997 (22)",Nigeria,30.06.2024,£11.70m,Ligue 1
50,AS Monaco,Forward,Willem Geubbels,"Aug 16, 2001 (18)",France,30.06.2023,£9.00m,Ligue 1
51,AS Monaco,Forward,Gelson Martins,"May 11, 1995 (24)",Portugal,30.06.2024,£25.20m,Ligue 1
52,AS Monaco,Forward,Gil Dias,"Sep 28, 1996 (22)",Portugal,30.06.2022,£2.25m,Ligue 1
53,AS Monaco,Forward,Wissam Ben Yedder,"Aug 12, 1990 (29)",France,30.06.2024,£36.00m,Ligue 1
54,AS Monaco,Forward,Jean-Kévin Augustin,"Jun 16, 1997 (22)",France,30.06.2020,£14.40m,Ligue 1
55,AS Monaco,Forward,Stevan Jovetic,"Nov 2, 1989 (29)",Montenegro,30.06.2021,£9.00m,Ligue 1
56,AS Monaco,Forward,Pietro Pellegri,"Mar 17, 2001 (18)",Italy,30.06.2022,£6.30m,Ligue 1
57,AS Monaco,Forward,Islam Slimani,"Jun 18, 1988 (31)",Algeria,30.06.2020,£4.50m,Ligue 1
58,AS Monaco,Forward,Moussa Sylla,"Nov 25, 1999 (19)",France,30.06.2020,£3.60m,Ligue 1
59,Olympique Lyon,Goalkeeper,Anthony Lopes,"Oct 1, 1990 (28)",Portugal,30.06.2022,£22.50m,Ligue 1
60,Olympique Lyon,Goalkeeper,Ciprian Tatarusanu,"Feb 9, 1986 (33)",Romania,30.06.2022,£2.25m,Ligue 1
61,Olympique Lyon,Goalkeeper,Anthony Racioppi,"Dec 31, 1998 (20)",Switzerland,30.06.2021,£450k,Ligue 1
62,Olympique Lyon,Defender,Joachim Andersen,"May 31, 1996 (23)",Denmark,30.06.2024,£22.50m,Ligue 1
63,Olympique Lyon,Defender,Jason Denayer,"Jun 28, 1995 (24)",Belgium,30.06.2022,£11.25m,Ligue 1
64,Olympique Lyon,Defender,Marcelo,"May 20, 1987 (32)",Brazil,30.06.2021,£6.30m,Ligue 1
65,Olympique Lyon,Defender,Mapou Yanga-Mbiwa,"May 15, 1989 (30)",France,30.06.2020,£1.80m,Ligue 1
66,Olympique Lyon,Defender,Oumar Solet,"Feb 7, 2000 (19)",France,30.06.2022,£900k,Ligue 1
67,Olympique Lyon,Defender,Marçal,"Feb 19, 1989 (30)",Brazil,30.06.2021,£4.50m,Ligue 1
68,Olympique Lyon,Defender,Youssouf Koné,"Jul 5, 1995 (24)",Mali,30.06.2024,£4.50m,Ligue 1
69,Olympique Lyon,Defender,Léo Dubois,"Sep 14, 1994 (25)",France,30.06.2024,£12.15m,Ligue 1
70,Olympique Lyon,Defender,Rafael,"Jul 9, 1990 (29)",Brazil,30.06.2021,£8.10m,Ligue 1
71,Olympique Lyon,Defender,Kenny Tete,"Oct 9, 1995 (23)",Netherlands,30.06.2021,£7.20m,Ligue 1
72,Olympique Lyon,Midfielder,Thiago Mendes,"Mar 15, 1992 (27)",Brazil,30.06.2023,£22.50m,Ligue 1
73,Olympique Lyon,Midfielder,Lucas Tousart,"Apr 29, 1997 (22)",France,30.06.2023,£18.00m,Ligue 1
74,Olympique Lyon,Midfielder,Houssem Aouar,"Jun 30, 1998 (21)",France,30.06.2023,£40.50m,Ligue 1
75,Olympique Lyon,Midfielder,Jeff Reine-Adélaïde,"Jan 17, 1998 (21)",France,30.06.2024,£9.90m,Ligue 1
76,Olympique Lyon,Midfielder,Jean Lucas,"Jun 22, 1998 (21)",Brazil,30.06.2024,£900k,Ligue 1
77,Olympique Lyon,Midfielder,Maxence Caqueret,"Feb 15, 2000 (19)",France,30.06.2023,£450k,Ligue 1
78,Olympique Lyon,Midfielder,Titouan Thomas,"Jan 12, 2002 (17)",France,30.06.2022,£135k,Ligue 1
79,Olympique Lyon,Forward,Memphis Depay,"Feb 13, 1994 (25)",Netherlands,30.06.2021,£40.50m,Ligue 1
80,Olympique Lyon,Forward,Martin Terrier,"Mar 4, 1997 (22)",France,30.06.2022,£13.50m,Ligue 1
81,Olympique Lyon,Forward,Boubacar Fofana,"Sep 7, 1998 (21)",France,30.06.2023,£180k,Ligue 1
82,Olympique Lyon,Forward,Bertrand Traoré,"Sep 6, 1995 (24)",Burkina Faso,30.06.2022,£13.50m,Ligue 1
83,Olympique Lyon,Forward,Maxwel Cornet,"Sep 27, 1996 (22)",Cote d'Ivoire,30.06.2021,£13.50m,Ligue 1
84,Olympique Lyon,Forward,Moussa Dembélé,"Jul 12, 1996 (23)",France,30.06.2023,£24.30m,Ligue 1
85,Olympique Lyon,Forward,Amine Gouiri,"Feb 16, 2000 (19)",France,30.06.2022,£4.05m,Ligue 1
86,Olympique Marseille,Goalkeeper,Steve Mandanda,"Mar 28, 1985 (34)",France,30.06.2021,£2.25m,Ligue 1
87,Olympique Marseille,Goalkeeper,Yohann Pelé,"Nov 4, 1982 (36)",France,30.06.2020,£450k,Ligue 1
88,Olympique Marseille,Goalkeeper,Ahmadou Dia,"Oct 13, 1999 (19)",France,30.06.2022,£135k,Ligue 1
89,Olympique Marseille,Defender,Boubacar Kamara,"Nov 23, 1999 (19)",France,30.06.2022,£16.20m,Ligue 1
90,Olympique Marseille,Defender,Duje Caleta-Car,"Sep 17, 1996 (22)",Croatia,30.06.2023,£13.50m,Ligue 1
91,Olympique Marseille,Defender,Álvaro González,"Jan 8, 1990 (29)",Spain,30.06.2020,£7.20m,Ligue 1
92,Olympique Marseille,Defender,Lucas Perrin,"Nov 19, 1998 (20)",France,30.06.2021,£270k,Ligue 1
93,Olympique Marseille,Defender,Jordan Amavi,"Mar 9, 1994 (25)",France,30.06.2021,£7.20m,Ligue 1
94,Olympique Marseille,Defender,Hiroki Sakai,"Apr 12, 1990 (29)",Japan,30.06.2022,£7.20m,Ligue 1
95,Olympique Marseille,Defender,Bouna Sarr,"Jan 31, 1992 (27)",France,30.06.2022,£5.40m,Ligue 1
96,Olympique Marseille,Defender,Abdallah Ali Mohamed,"Apr 11, 1999 (20)",Comoros,30.06.2022,£135k,Ligue 1
97,Olympique Marseille,Midfielder,Grégory Sertic,"Aug 5, 1989 (30)",France,30.06.2020,£900k,Ligue 1
98,Olympique Marseille,Midfielder,Alexandre Phliponeau,"Jan 26, 2000 (19)",France,30.06.2022,£225k,Ligue 1
99,Olympique Marseille,Midfielder,Morgan Sanson,"Aug 18, 1994 (25)",France,30.06.2022,£25.20m,Ligue 1
100,Olympique Marseille,Midfielder,Kevin Strootman,"Feb 13, 1990 (29)",Netherlands,30.06.2023,£18.00m,Ligue 1
101,Olympique Marseille,Midfielder,Valentin Rongier,"Dec 7, 1994 (24)",France,30.06.2024,£13.50m,Ligue 1
102,Olympique Marseille,Midfielder,Maxime López,"Dec 4, 1997 (21)",France,30.06.2021,£13.50m,Ligue 1
103,Olympique Marseille,Midfielder,Saîf-Eddine Khaoui,"Apr 27, 1995 (24)",Tunisia,30.06.2021,£3.15m,Ligue 1
104,Olympique Marseille,Midfielder,Florian Chabrolle,"Apr 7, 1998 (21)",France,30.06.2021,£135k,Ligue 1
105,Olympique Marseille,Forward,Dimitri Payet,"Mar 29, 1987 (32)",France,30.06.2021,£11.25m,Ligue 1
106,Olympique Marseille,Forward,Nemanja Radonjic,"Feb 15, 1996 (23)",Serbia,30.06.2023,£4.50m,Ligue 1
107,Olympique Marseille,Forward,Marley Aké,"Jan 5, 2001 (18)",France,30.06.2022,£135k,Ligue 1
108,Olympique Marseille,Forward,Florian Thauvin,"Jan 26, 1993 (26)",France,30.06.2021,£40.50m,Ligue 1
109,Olympique Marseille,Forward,Isaac Lihadji,"Apr 10, 2002 (17)",France,30.06.2020,-,Ligue 1
110,Olympique Marseille,Forward,Darío Benedetto,"May 17, 1990 (29)",Argentina,30.06.2023,£11.25m,Ligue 1
111,Olympique Marseille,Forward,Valère Germain,"Apr 17, 1990 (29)",France,30.06.2021,£6.30m,Ligue 1
112,LOSC Lille,Goalkeeper,Mike Maignan,"Jul 3, 1995 (24)",France,30.06.2022,£15.75m,Ligue 1
113,LOSC Lille,Goalkeeper,Léo Jardim,"Mar 20, 1995 (24)",Brazil,30.06.2024,£900k,Ligue 1
114,LOSC Lille,Defender,Adama Soumaoro,"Jun 18, 1992 (27)",France,30.06.2021,£9.00m,Ligue 1
115,LOSC Lille,Defender,Gabriel Magalhães,"Dec 19, 1997 (21)",Brazil,30.06.2021,£3.60m,Ligue 1
116,LOSC Lille,Defender,José Fonte,"Dec 22, 1983 (35)",Portugal,30.06.2021,£1.80m,Ligue 1
117,LOSC Lille,Defender,Saad Agouzoul,"Aug 10, 1997 (22)",Morocco,30.06.2024,£383k,Ligue 1
118,LOSC Lille,Defender,Tiago Djaló,"Apr 9, 2000 (19)",Portugal,30.06.2024,£158k,Ligue 1
119,LOSC Lille,Defender,Domagoj Bradaric,"Dec 10, 1999 (19)",Croatia,30.06.2024,£900k,Ligue 1
120,LOSC Lille,Defender,Reinildo Mandava,"Jan 21, 1994 (25)",Mozambique,30.06.2022,£540k,Ligue 1
121,LOSC Lille,Defender,Zeki Celik,"Feb 17, 1997 (22)",Turkey,30.06.2023,£15.30m,Ligue 1
122,LOSC Lille,Defender,Jérémy Pied,"Feb 23, 1989 (30)",France,30.06.2020,£2.25m,Ligue 1
123,LOSC Lille,Midfielder,Boubakary Soumaré,"Feb 27, 1999 (20)",France,30.06.2020,£6.75m,Ligue 1
124,LOSC Lille,Midfielder,Thiago Maia,"Mar 23, 1997 (22)",Brazil,30.06.2022,£3.60m,Ligue 1
125,LOSC Lille,Midfielder,Renato Sanches,"Aug 18, 1997 (22)",Portugal,30.06.2023,£16.20m,Ligue 1
126,LOSC Lille,Midfielder,Xeka,"Nov 10, 1994 (24)",Portugal,30.06.2022,£9.00m,Ligue 1
127,LOSC Lille,Midfielder,Benjamin André,"Aug 3, 1990 (29)",France,30.06.2023,£9.00m,Ligue 1
128,LOSC Lille,Midfielder,Jonathan Ikoné,"May 2, 1998 (21)",France,30.06.2023,£13.50m,Ligue 1
129,LOSC Lille,Midfielder,Yusuf Yazici,"Jan 29, 1997 (22)",Turkey,30.06.2024,£11.70m,Ligue 1
130,LOSC Lille,Forward,Jonathan Bamba,"Mar 26, 1996 (23)",France,30.06.2023,£15.30m,Ligue 1
131,LOSC Lille,Forward,Luiz Araújo,"Jun 2, 1996 (23)",Brazil,30.06.2022,£6.30m,Ligue 1
132,LOSC Lille,Forward,Victor Osimhen,"Dec 29, 1998 (20)",Nigeria,30.06.2024,£11.70m,Ligue 1
133,LOSC Lille,Forward,Timothy Weah,"Feb 22, 2000 (19)",United States,30.06.2024,£5.40m,Ligue 1
134,LOSC Lille,Forward,Loïc Rémy,"Jan 2, 1987 (32)",France,30.06.2020,£2.70m,Ligue 1
135,OGC Nice,Goalkeeper,Walter Benítez,"Jan 19, 1993 (26)",Argentina,30.06.2020,£9.00m,Ligue 1
136,OGC Nice,Goalkeeper,Yoan Cardinale,"Mar 27, 1994 (25)",France,30.06.2020,£1.80m,Ligue 1
137,OGC Nice,Goalkeeper,Yannis Clementia,"Jul 5, 1997 (22)",France,-,£450k,Ligue 1
138,OGC Nice,Defender,Malang Sarr,"Jan 23, 1999 (20)",France,30.06.2021,£16.20m,Ligue 1
139,OGC Nice,Defender,Christophe Hérelle,"Aug 22, 1992 (27)",France,30.06.2023,£8.10m,Ligue 1
140,OGC Nice,Defender,Dante,"Oct 18, 1983 (35)",Brazil,30.06.2021,£1.35m,Ligue 1
141,OGC Nice,Defender,Gautier Lloris,"Jul 18, 1995 (24)",France,30.06.2020,£135k,Ligue 1
142,OGC Nice,Defender,Andy Pelmard,"Mar 12, 2000 (19)",France,-,-,Ligue 1
143,OGC Nice,Defender,Ibrahim Cissé,"Jan 11, 1999 (20)",Cote d'Ivoire,-,-,Ligue 1
144,OGC Nice,Defender,Stanley Nsoki,"Apr 9, 1999 (20)",France,-,£7.65m,Ligue 1
145,OGC Nice,Defender,Racine Coly,"Dec 8, 1995 (23)",Senegal,30.06.2022,£2.25m,Ligue 1
146,OGC Nice,Defender,Youcef Atal,"May 17, 1996 (23)",Algeria,30.06.2023,£18.00m,Ligue 1
147,OGC Nice,Defender,Patrick Burner,"Apr 11, 1996 (23)",France,-,£3.15m,Ligue 1
148,OGC Nice,Midfielder,Adrien Tamèze,"Feb 4, 1994 (25)",France,30.06.2021,£7.20m,Ligue 1
149,OGC Nice,Midfielder,Danilo,"Feb 28, 1996 (23)",Brazil,30.06.2021,£7.20m,Ligue 1
150,OGC Nice,Midfielder,Khéphren Thuram,"Mar 26, 2001 (18)",France,30.06.2022,£450k,Ligue 1
151,OGC Nice,Midfielder,Wylan Cyprien,"Jan 28, 1995 (24)",France,30.06.2021,£12.60m,Ligue 1
152,OGC Nice,Midfielder,Pierre Lees Melou,"May 25, 1993 (26)",France,30.06.2021,£7.20m,Ligue 1
153,OGC Nice,Midfielder,Rémi Walter,"Apr 26, 1995 (24)",France,30.06.2020,£3.15m,Ligue 1
154,OGC Nice,Midfielder,Arnaud Lusamba,"Jan 4, 1997 (22)",France,30.06.2021,£1.80m,Ligue 1
155,OGC Nice,Midfielder,Hichem Boudaoui,"Sep 23, 1999 (19)",Algeria,30.06.2023,£1.26m,Ligue 1
156,OGC Nice,Forward,Alexis Claude-Maurice,"Jun 6, 1998 (21)",France,30.06.2024,£6.75m,Ligue 1
157,OGC Nice,Forward,Adam Ounas,"Nov 11, 1996 (22)",Algeria,30.06.2020,£9.00m,Ligue 1
158,OGC Nice,Forward,Bassem Srarfi,"Jun 25, 1997 (22)",Tunisia,30.06.2021,£2.70m,Ligue 1
159,OGC Nice,Forward,Kasper Dolberg,"Oct 6, 1997 (21)",Denmark,30.06.2024,£16.20m,Ligue 1
160,OGC Nice,Forward,Myziane Maolida,"Feb 14, 1999 (20)",France,30.06.2023,£7.20m,Ligue 1
161,OGC Nice,Forward,Ignatius Ganago,"Feb 16, 1999 (20)",Cameroon,30.06.2022,£2.70m,Ligue 1
162,OGC Nice,Forward,Mohamed Lamine Diaby,"Jan 19, 2001 (18)",France,30.06.2021,-,Ligue 1
163,FC Girondins Bordeaux,Goalkeeper,Benoît Costil,"Jul 3, 1987 (32)",France,30.06.2022,£4.95m,Ligue 1
164,FC Girondins Bordeaux,Goalkeeper,Gaëtan Poussin,"Jan 13, 1999 (20)",France,30.06.2023,£720k,Ligue 1
165,FC Girondins Bordeaux,Defender,Pablo,"Jun 21, 1991 (28)",Brazil,30.06.2021,£9.00m,Ligue 1
166,FC Girondins Bordeaux,Defender,Laurent Koscielny,"Sep 10, 1985 (34)",France,-,£7.20m,Ligue 1
167,FC Girondins Bordeaux,Defender,Mexer,"Sep 8, 1988 (31)",Mozambique,30.06.2023,£3.60m,Ligue 1
168,FC Girondins Bordeaux,Defender,Vukasin Jovanovic,"May 17, 1996 (23)",Serbia,30.06.2021,£2.70m,Ligue 1
169,FC Girondins Bordeaux,Defender,Paul Baysse,"May 18, 1988 (31)",France,30.06.2021,£1.80m,Ligue 1
170,FC Girondins Bordeaux,Defender,Maxime Poundjé,"Aug 16, 1992 (27)",France,30.06.2021,£4.50m,Ligue 1
171,FC Girondins Bordeaux,Defender,Loris Benito,"Jan 7, 1992 (27)",Switzerland,30.06.2022,£3.60m,Ligue 1
172,FC Girondins Bordeaux,Defender,Youssouf Sabaly,"Mar 5, 1993 (26)",Senegal,30.06.2021,£9.00m,Ligue 1
173,FC Girondins Bordeaux,Defender,Enock Kwateng,"Apr 9, 1997 (22)",France,30.06.2023,£3.60m,Ligue 1
174,FC Girondins Bordeaux,Defender,Raoul Bellanova,"May 17, 2000 (19)",Italy,30.06.2022,£900k,Ligue 1
175,FC Girondins Bordeaux,Midfielder,Otávio,"May 4, 1994 (25)",Brazil,30.06.2021,£6.30m,Ligue 1
176,FC Girondins Bordeaux,Midfielder,Albert Lottin,"Aug 29, 2001 (18)",France,30.06.2021,£450k,Ligue 1
177,FC Girondins Bordeaux,Midfielder,Youssef Aït Bennasser,"Jul 7, 1996 (23)",Morocco,30.06.2020,£9.00m,Ligue 1
178,FC Girondins Bordeaux,Midfielder,Aurélien Tchouaméni,"Jan 27, 2000 (19)",France,30.06.2022,£6.30m,Ligue 1
179,FC Girondins Bordeaux,Midfielder,Younousse Sankharé,"Sep 10, 1989 (30)",Senegal,30.06.2021,£4.50m,Ligue 1
180,FC Girondins Bordeaux,Midfielder,Toma Basic,"Nov 25, 1996 (22)",Croatia,30.06.2022,£4.50m,Ligue 1
181,FC Girondins Bordeaux,Midfielder,Yacine Adli,"Jul 29, 2000 (19)",France,30.06.2023,£4.95m,Ligue 1
182,FC Girondins Bordeaux,Midfielder,Yassine Benrahou,"Jan 24, 1999 (20)",Morocco,30.06.2022,£225k,Ligue 1
183,FC Girondins Bordeaux,Forward,François Kamano,"May 1, 1996 (23)",Guinea,30.06.2021,£13.50m,Ligue 1
184,FC Girondins Bordeaux,Forward,Samuel Kalu,"Aug 26, 1997 (22)",Nigeria,30.06.2023,£9.00m,Ligue 1
185,FC Girondins Bordeaux,Forward,Jonathan Cafú,"Jul 10, 1991 (28)",Brazil,30.06.2021,£1.80m,Ligue 1
186,FC Girondins Bordeaux,Forward,Nicolas de Préville,"Jan 8, 1991 (28)",France,30.06.2021,£3.60m,Ligue 1
187,FC Girondins Bordeaux,Forward,Jimmy Briand,"Aug 2, 1985 (34)",France,30.06.2020,£2.25m,Ligue 1
188,FC Girondins Bordeaux,Forward,Josh Maja,"Dec 27, 1998 (20)",England,30.06.2023,£1.53m,Ligue 1
189,FC Girondins Bordeaux,Forward,Ui-jo Hwang,"Aug 28, 1992 (27)","Korea, South",30.06.2023,£1.44m,Ligue 1
190,Stade Rennais FC,Goalkeeper,Edouard Mendy,"Mar 1, 1992 (27)",Senegal,30.06.2023,£8.10m,Ligue 1
191,Stade Rennais FC,Goalkeeper,Romain Salin,"Jul 29, 1984 (35)",France,30.06.2021,£180k,Ligue 1
192,Stade Rennais FC,Defender,Joris Gnagnon,"Jan 13, 1997 (22)",France,30.06.2020,£5.40m,Ligue 1
193,Stade Rennais FC,Defender,Jérémy Gelin,"Apr 24, 1997 (22)",France,30.06.2022,£5.40m,Ligue 1
194,Stade Rennais FC,Defender,Damien Da Silva,"May 17, 1988 (31)",France,30.06.2021,£4.50m,Ligue 1
195,Stade Rennais FC,Defender,Gerzino Nyamsi,"Jan 22, 1997 (22)",France,30.06.2024,£720k,Ligue 1
196,Stade Rennais FC,Defender,Jérémy Morel,"Apr 2, 1984 (35)",Madagascar,30.06.2020,£225k,Ligue 1
197,Stade Rennais FC,Defender,Faitout Maouassa,"Jul 6, 1998 (21)",France,30.06.2021,£7.20m,Ligue 1
198,Stade Rennais FC,Defender,Souleyman Doumbia,"Sep 24, 1996 (22)",Cote d'Ivoire,30.06.2022,£2.70m,Ligue 1
199,Stade Rennais FC,Defender,Hamari Traoré,"Jan 27, 1992 (27)",Mali,30.06.2021,£5.40m,Ligue 1
200,Stade Rennais FC,Defender,Sacha Boey,"Sep 13, 2000 (19)",France,30.06.2022,£225k,Ligue 1
201,Stade Rennais FC,Midfielder,Eduardo Camavinga,"Nov 10, 2002 (16)",DR Congo,30.06.2022,£3.60m,Ligue 1
202,Stade Rennais FC,Midfielder,Benjamin Bourigeaud,"Jan 14, 1994 (25)",France,30.06.2021,£10.80m,Ligue 1
203,Stade Rennais FC,Midfielder,Clément Grenier,"Jan 7, 1991 (28)",France,30.06.2021,£6.75m,Ligue 1
204,Stade Rennais FC,Midfielder,Jonas Martin,"Apr 9, 1990 (29)",France,30.06.2022,£4.50m,Ligue 1
205,Stade Rennais FC,Midfielder,James Léa Siliki,"Jun 12, 1996 (23)",France,30.06.2023,£3.60m,Ligue 1
206,Stade Rennais FC,Midfielder,Jakob Johansson,"Jun 21, 1990 (29)",Sweden,30.06.2020,£2.25m,Ligue 1
207,Stade Rennais FC,Midfielder,Adrien Hunou,"Jan 19, 1994 (25)",France,30.06.2020,£5.40m,Ligue 1
208,Stade Rennais FC,Midfielder,Rafik Guitane,"May 26, 1999 (20)",France,30.06.2022,£4.50m,Ligue 1
209,Stade Rennais FC,Midfielder,Yann Gboho,"Jan 14, 2001 (18)",France,30.06.2021,£135k,Ligue 1
210,Stade Rennais FC,Forward,Flavien Tait,"Feb 2, 1993 (26)",France,30.06.2023,£7.20m,Ligue 1
211,Stade Rennais FC,Forward,Raphinha,"Dec 14, 1996 (22)",Brazil,30.06.2023,£7.20m,Ligue 1
212,Stade Rennais FC,Forward,Romain Del Castillo,"Mar 29, 1996 (23)",France,30.06.2022,£3.15m,Ligue 1
213,Stade Rennais FC,Forward,M'Baye Niang,"Dec 19, 1994 (24)",Senegal,30.06.2023,£10.80m,Ligue 1
214,Stade Rennais FC,Forward,Jordan Siebatcheu,"Apr 26, 1996 (23)",France,30.06.2023,£5.40m,Ligue 1
215,Stade Rennais FC,Forward,Diafra Sakho,"Dec 24, 1989 (29)",Senegal,30.06.2020,£1.80m,Ligue 1
216,Stade Rennais FC,Forward,Metehan Güclü,"Apr 2, 1999 (20)",Turkey,30.06.2023,-,Ligue 1
217,AS Saint-Étienne,Goalkeeper,Stéphane Ruffier,"Sep 27, 1986 (32)",France,30.06.2021,£3.15m,Ligue 1
218,AS Saint-Étienne,Goalkeeper,Jessy Moulin,"Jan 13, 1986 (33)",France,30.06.2022,£225k,Ligue 1
219,AS Saint-Étienne,Goalkeeper,Théo Vermot,"Jan 27, 1997 (22)",France,-,£135k,Ligue 1
