,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
23,Juventus FC,Forward,Juan Cuadrado,"May 26, 1988 (31)",Colombia,30.06.2020,£16.20m,Serie A
24,Juventus FC,Forward,Paulo Dybala,"Nov 15, 1993 (25)",Argentina,30.06.2022,£76.50m,Serie A
25,Juventus FC,Forward,Gonzalo Higuaín,"Dec 10, 1987 (31)",Argentina,30.06.2021,£31.50m,Serie A
26,Juventus FC,Forward,Mario Mandzukic,"May 21, 1986 (33)",Croatia,30.06.2021,£16.20m,Serie A
27,SSC Napoli,Goalkeeper,Alex Meret,"Mar 22, 1997 (22)",Italy,30.06.2023,£22.50m,Serie A
28,SSC Napoli,Goalkeeper,David Ospina,"Aug 31, 1988 (31)",Colombia,30.06.2022,£3.60m,Serie A
29,SSC Napoli,Goalkeeper,Orestis Karnezis,"Jul 11, 1985 (34)",Greece,30.06.2021,£1.35m,Serie A
30,SSC Napoli,Defender,Kalidou Koulibaly,"Jun 20, 1991 (28)",Senegal,30.06.2023,£67.50m,Serie A
31,SSC Napoli,Defender,Konstantinos Manolas,"Jun 14, 1991 (28)",Greece,30.06.2024,£40.50m,Serie A
32,SSC Napoli,Defender,Nikola Maksimovic,"Nov 25, 1991 (27)",Serbia,30.06.2021,£15.30m,Serie A
33,SSC Napoli,Defender,Lorenzo Tonelli,"Jan 17, 1990 (29)",Italy,30.06.2021,£6.30m,Serie A
34,SSC Napoli,Defender,Sebastiano Luperto,"Sep 6, 1996 (23)",Italy,30.06.2023,£3.60m,Serie A
35,SSC Napoli,Defender,Faouzi Ghoulam,"Feb 1, 1991 (28)",Algeria,30.06.2022,£20.70m,Serie A
36,SSC Napoli,Defender,Mário Rui,"May 27, 1991 (28)",Portugal,30.06.2022,£10.80m,Serie A
37,SSC Napoli,Defender,Elseid Hysaj,"Feb 2, 1994 (25)",Albania,30.06.2021,£20.70m,Serie A
38,SSC Napoli,Defender,Kévin Malcuit,"Jul 31, 1991 (28)",France,30.06.2022,£14.40m,Serie A
39,SSC Napoli,Defender,Giovanni Di Lorenzo,"Aug 4, 1993 (26)",Italy,30.06.2024,£8.10m,Serie A
40,SSC Napoli,Midfielder,Allan,"Jan 8, 1991 (28)",Brazil,30.06.2023,£54.00m,Serie A
41,SSC Napoli,Midfielder,Fabián Ruiz,"Apr 3, 1996 (23)",Spain,30.06.2023,£45.00m,Serie A
42,SSC Napoli,Midfielder,Piotr Zielinski,"May 20, 1994 (25)",Poland,30.06.2021,£36.00m,Serie A
43,SSC Napoli,Midfielder,Eljif Elmas,"Sep 24, 1999 (19)",North Macedonia,30.06.2024,£9.00m,Serie A
44,SSC Napoli,Midfielder,Gianluca Gaetano,"May 5, 2000 (19)",Italy,30.06.2023,£720k,Serie A
45,SSC Napoli,Forward,Lorenzo Insigne,"Jun 4, 1991 (28)",Italy,30.06.2022,£58.50m,Serie A
46,SSC Napoli,Forward,Hirving Lozano,"Jul 30, 1995 (24)",Mexico,30.06.2024,£36.00m,Serie A
47,SSC Napoli,Forward,Amin Younes,"Aug 6, 1993 (26)",Germany,30.06.2023,£7.20m,Serie A
48,SSC Napoli,Forward,Leandrinho,"Oct 11, 1998 (20)",Brazil,30.06.2021,£450k,Serie A
49,SSC Napoli,Forward,José Callejón,"Feb 11, 1987 (32)",Spain,30.06.2020,£18.00m,Serie A
50,SSC Napoli,Forward,Amato Ciciretti,"Dec 31, 1993 (25)",Italy,30.06.2022,£1.35m,Serie A
51,SSC Napoli,Forward,Arkadiusz Milik,"Feb 28, 1994 (25)",Poland,30.06.2021,£36.00m,Serie A
52,SSC Napoli,Forward,Dries Mertens,"May 6, 1987 (32)",Belgium,30.06.2020,£22.50m,Serie A
53,SSC Napoli,Forward,Fernando Llorente,"Feb 26, 1985 (34)",Spain,30.06.2021,£3.15m,Serie A
54,Inter Milan,Goalkeeper,Samir Handanovic,"Jul 14, 1984 (35)",Slovenia,30.06.2021,£5.40m,Serie A
55,Inter Milan,Goalkeeper,Daniele Padelli,"Oct 25, 1985 (33)",Italy,30.06.2020,£720k,Serie A
56,Inter Milan,Goalkeeper,Tommaso Berni,"Mar 6, 1983 (36)",Italy,30.06.2020,£90k,Serie A
57,Inter Milan,Defender,Milan Skriniar,"Feb 11, 1995 (24)",Slovakia,30.06.2023,£54.00m,Serie A
58,Inter Milan,Defender,Stefan de Vrij,"Feb 5, 1992 (27)",Netherlands,30.06.2023,£45.00m,Serie A
59,Inter Milan,Defender,Diego Godín,"Feb 16, 1986 (33)",Uruguay,30.06.2022,£18.00m,Serie A
60,Inter Milan,Defender,Alessandro Bastoni,"Apr 13, 1999 (20)",Italy,30.06.2023,£13.50m,Serie A
61,Inter Milan,Defender,Andrea Ranocchia,"Feb 16, 1988 (31)",Italy,30.06.2021,£2.70m,Serie A
62,Inter Milan,Defender,Lorenzo Pirola,"Feb 20, 2002 (17)",Italy,-,-,Serie A
63,Inter Milan,Defender,Federico Dimarco,"Nov 10, 1997 (21)",Italy,30.06.2023,£4.50m,Serie A
64,Inter Milan,Defender,Danilo D'Ambrosio,"Sep 9, 1988 (31)",Italy,30.06.2021,£11.70m,Serie A
65,Inter Milan,Midfielder,Marcelo Brozovic,"Nov 16, 1992 (26)",Croatia,30.06.2022,£45.00m,Serie A
66,Inter Milan,Midfielder,Nicolò Barella,"Feb 7, 1997 (22)",Italy,30.06.2024,£32.40m,Serie A
67,Inter Milan,Midfielder,Matías Vecino,"Aug 24, 1991 (28)",Uruguay,30.06.2022,£20.70m,Serie A
68,Inter Milan,Midfielder,Stefano Sensi,"Aug 5, 1995 (24)",Italy,30.06.2020,£16.20m,Serie A
69,Inter Milan,Midfielder,Roberto Gagliardini,"Apr 7, 1994 (25)",Italy,30.06.2023,£13.50m,Serie A
70,Inter Milan,Midfielder,Lucien Agoume,"Feb 9, 2002 (17)",France,30.06.2022,£3.15m,Serie A
71,Inter Milan,Midfielder,Borja Valero,"Jan 12, 1985 (34)",Spain,30.06.2020,£2.25m,Serie A
72,Inter Milan,Midfielder,Valentino Lazaro,"Mar 24, 1996 (23)",Austria,30.06.2023,£15.30m,Serie A
73,Inter Milan,Midfielder,Antonio Candreva,"Feb 28, 1987 (32)",Italy,30.06.2021,£4.50m,Serie A
74,Inter Milan,Midfielder,Kwadwo Asamoah,"Dec 9, 1988 (30)",Ghana,30.06.2021,£11.70m,Serie A
75,Inter Milan,Midfielder,Cristiano Biraghi,"Sep 1, 1992 (27)",Italy,30.06.2020,£9.00m,Serie A
76,Inter Milan,Forward,Alexis Sánchez,"Dec 19, 1988 (30)",Chile,30.06.2020,£31.50m,Serie A
77,Inter Milan,Forward,Matteo Politano,"Aug 3, 1993 (26)",Italy,30.06.2023,£27.00m,Serie A
78,Inter Milan,Forward,Romelu Lukaku,"May 13, 1993 (26)",Belgium,30.06.2024,£67.50m,Serie A
79,Inter Milan,Forward,Lautaro Martínez,"Aug 22, 1997 (22)",Argentina,30.06.2023,£27.00m,Serie A
80,Inter Milan,Forward,Sebastiano Esposito,"Jul 2, 2002 (17)",Italy,30.06.2022,-,Serie A
81,AC Milan,Goalkeeper,Gianluigi Donnarumma,"Feb 25, 1999 (20)",Italy,30.06.2021,£49.50m,Serie A
82,AC Milan,Goalkeeper,Pepe Reina,"Aug 31, 1982 (37)",Spain,30.06.2021,£900k,Serie A
83,AC Milan,Goalkeeper,Antonio Donnarumma,"Jul 7, 1990 (29)",Italy,30.06.2021,£450k,Serie A
84,AC Milan,Goalkeeper,Matteo Soncin,"Mar 28, 2001 (18)",Italy,-,-,Serie A
85,AC Milan,Defender,Alessio Romagnoli,"Jan 12, 1995 (24)",Italy,30.06.2022,£45.00m,Serie A
86,AC Milan,Defender,Mattia Caldara,"May 5, 1994 (25)",Italy,30.06.2023,£18.00m,Serie A
87,AC Milan,Defender,Mateo Musacchio,"Aug 26, 1990 (29)",Argentina,30.06.2021,£13.50m,Serie A
88,AC Milan,Defender,Léo Duarte,"Jul 17, 1996 (23)",Brazil,30.06.2024,£7.20m,Serie A
89,AC Milan,Defender,Matteo Gabbia,"Oct 21, 1999 (19)",Italy,30.06.2023,£450k,Serie A
90,AC Milan,Defender,Ricardo Rodríguez,"Aug 25, 1992 (27)",Switzerland,30.06.2021,£15.30m,Serie A
91,AC Milan,Defender,Theo Hernández,"Oct 6, 1997 (21)",France,30.06.2024,£13.50m,Serie A
92,AC Milan,Defender,Davide Calabria,"Dec 6, 1996 (22)",Italy,30.06.2022,£18.00m,Serie A
93,AC Milan,Defender,Andrea Conti,"Mar 2, 1994 (25)",Italy,30.06.2022,£13.50m,Serie A
94,AC Milan,Midfielder,Ismaël Bennacer,"Dec 1, 1997 (21)",Algeria,30.06.2024,£10.80m,Serie A
95,AC Milan,Midfielder,Lucas Biglia,"Jan 30, 1986 (33)",Argentina,30.06.2020,£5.40m,Serie A
96,AC Milan,Midfielder,Franck Kessié,"Dec 19, 1996 (22)",Cote d'Ivoire,30.06.2022,£29.70m,Serie A
97,AC Milan,Midfielder,Giacomo Bonaventura,"Aug 22, 1989 (30)",Italy,30.06.2020,£18.00m,Serie A
98,AC Milan,Midfielder,Rade Krunic,"Oct 7, 1993 (25)",Bosnia-Herzegovina,30.06.2024,£7.20m,Serie A
99,AC Milan,Midfielder,Lucas Paquetá,"Aug 27, 1997 (22)",Brazil,30.06.2023,£31.50m,Serie A
100,AC Milan,Midfielder,Daniel Maldini,"Oct 11, 2001 (17)",Italy,-,-,Serie A
101,AC Milan,Forward,Hakan Calhanoglu,"Feb 8, 1994 (25)",Turkey,30.06.2021,£18.00m,Serie A
102,AC Milan,Forward,Fabio Borini,"Mar 29, 1991 (28)",Italy,30.06.2021,£6.30m,Serie A
103,AC Milan,Forward,Suso,"Nov 19, 1993 (25)",Spain,30.06.2022,£36.00m,Serie A
104,AC Milan,Forward,Samu Castillejo,"Jan 18, 1995 (24)",Spain,30.06.2023,£16.20m,Serie A
105,AC Milan,Forward,Ante Rebic,"Sep 21, 1993 (25)",Croatia,30.06.2021,£36.00m,Serie A
106,AC Milan,Forward,Krzysztof Piatek,"Jul 1, 1995 (24)",Poland,30.06.2023,£36.00m,Serie A
107,AC Milan,Forward,Rafael Leão,"Jun 10, 1999 (20)",Portugal,30.06.2024,£13.50m,Serie A
108,AS Roma,Goalkeeper,Pau López,"Dec 13, 1994 (24)",Spain,30.06.2024,£18.00m,Serie A
109,AS Roma,Goalkeeper,Antonio Mirante,"Jul 8, 1983 (36)",Italy,30.06.2021,£720k,Serie A
110,AS Roma,Goalkeeper,Daniel Fuzato,"Jul 4, 1997 (22)",Brazil,30.06.2022,£90k,Serie A
111,AS Roma,Defender,Gianluca Mancini,"Apr 17, 1996 (23)",Italy,30.06.2020,£19.80m,Serie A
112,AS Roma,Defender,Chris Smalling,"Nov 22, 1989 (29)",England,30.06.2020,£18.00m,Serie A
113,AS Roma,Defender,Juan Jesus,"Jun 10, 1991 (28)",Brazil,30.06.2021,£8.10m,Serie A
114,AS Roma,Defender,Federico Fazio,"Mar 17, 1987 (32)",Argentina,30.06.2021,£5.40m,Serie A
115,AS Roma,Defender,Mert Cetin,"Jan 1, 1997 (22)",Turkey,30.06.2024,£225k,Serie A
116,AS Roma,Defender,Leonardo Spinazzola,"Mar 25, 1993 (26)",Italy,30.06.2023,£13.50m,Serie A
117,AS Roma,Defender,Aleksandar Kolarov,"Nov 10, 1985 (33)",Serbia,30.06.2020,£7.20m,Serie A
118,AS Roma,Defender,Davide Santon,"Jan 2, 1991 (28)",Italy,30.06.2022,£4.50m,Serie A
119,AS Roma,Defender,Alessandro Florenzi,"Mar 11, 1991 (28)",Italy,30.06.2023,£22.50m,Serie A
120,AS Roma,Defender,Davide Zappacosta,"Jun 11, 1992 (27)",Italy,31.01.2020,£13.50m,Serie A
121,AS Roma,Midfielder,Amadou Diawara,"Jul 17, 1997 (22)",Guinea,30.06.2024,£13.50m,Serie A
122,AS Roma,Midfielder,Lorenzo Pellegrini,"Jun 19, 1996 (23)",Italy,30.06.2022,£31.50m,Serie A
123,AS Roma,Midfielder,Bryan Cristante,"Mar 3, 1995 (24)",Italy,30.06.2023,£22.50m,Serie A
124,AS Roma,Midfielder,Jordan Veretout,"Mar 1, 1993 (26)",France,30.06.2020,£18.00m,Serie A
125,AS Roma,Midfielder,Nicolò Zaniolo,"Jul 2, 1999 (20)",Italy,30.06.2024,£36.00m,Serie A
126,AS Roma,Midfielder,Henrikh Mkhitaryan,"Jan 21, 1989 (30)",Armenia,30.06.2020,£22.50m,Serie A
127,AS Roma,Midfielder,Javier Pastore,"Jun 20, 1989 (30)",Argentina,30.06.2023,£13.50m,Serie A
128,AS Roma,Forward,Justin Kluivert,"May 5, 1999 (20)",Netherlands,30.06.2023,£18.00m,Serie A
129,AS Roma,Forward,Diego Perotti,"Jul 26, 1988 (31)",Argentina,30.06.2021,£10.80m,Serie A
130,AS Roma,Forward,Cengiz Ünder,"Jul 14, 1997 (22)",Turkey,30.06.2023,£31.50m,Serie A
131,AS Roma,Forward,Mirko Antonucci,"Mar 11, 1999 (20)",Italy,30.06.2022,£450k,Serie A
132,AS Roma,Forward,Edin Dzeko,"Mar 17, 1986 (33)",Bosnia-Herzegovina,30.06.2022,£12.60m,Serie A
133,AS Roma,Forward,Nikola Kalinic,"Jan 5, 1988 (31)",Croatia,30.06.2020,£9.00m,Serie A
134,SS Lazio,Goalkeeper,Thomas Strakosha,"Mar 19, 1995 (24)",Albania,30.06.2022,£18.00m,Serie A
135,SS Lazio,Goalkeeper,Ivan Vargic,"Mar 15, 1987 (32)",Croatia,30.06.2020,£360k,Serie A
136,SS Lazio,Goalkeeper,Silvio Proto,"May 23, 1983 (36)",Belgium,30.06.2021,£360k,Serie A
137,SS Lazio,Goalkeeper,Guido Guerrieri,"Feb 25, 1996 (23)",Italy,30.06.2021,£270k,Serie A
138,SS Lazio,Defender,Francesco Acerbi,"Feb 10, 1988 (31)",Italy,30.06.2023,£10.80m,Serie A
139,SS Lazio,Defender,Luiz Felipe,"Mar 22, 1997 (22)",Brazil,30.06.2022,£9.00m,Serie A
140,SS Lazio,Defender,Denis Vavro,"Apr 10, 1996 (23)",Slovakia,30.06.2024,£5.40m,Serie A
141,SS Lazio,Defender,Stefan Radu,"Oct 22, 1986 (32)",Romania,30.06.2021,£4.50m,Serie A
142,SS Lazio,Defender,Bastos,"Mar 27, 1991 (28)",Angola,30.06.2021,£3.60m,Serie A
143,SS Lazio,Defender,Jorge Silva,"Feb 4, 1999 (20)",Portugal,30.06.2020,£45k,Serie A
144,SS Lazio,Defender,Jordan Lukaku,"Jul 25, 1994 (25)",Belgium,30.06.2022,£5.40m,Serie A
145,SS Lazio,Defender,Riza Durmisi,"Jan 8, 1994 (25)",Denmark,30.06.2023,£3.60m,Serie A
146,SS Lazio,Defender,Patric,"Apr 17, 1993 (26)",Spain,30.06.2022,£1.62m,Serie A
147,SS Lazio,Defender,Tiago Casasola,"Aug 11, 1995 (24)",Argentina,30.06.2023,£450k,Serie A
148,SS Lazio,Midfielder,Lucas Leiva,"Jan 9, 1987 (32)",Brazil,30.06.2022,£8.10m,Serie A
149,SS Lazio,Midfielder,Sergej Milinkovic-Savic,"Feb 27, 1995 (24)",Serbia,30.06.2023,£58.50m,Serie A
150,SS Lazio,Midfielder,Valon Berisha,"Feb 7, 1993 (26)",Kosovo,30.06.2023,£6.30m,Serie A
151,SS Lazio,Midfielder,Danilo Cataldi,"Aug 6, 1994 (25)",Italy,30.06.2020,£3.60m,Serie A
152,SS Lazio,Midfielder,Marco Parolo,"Jan 25, 1985 (34)",Italy,30.06.2020,£2.70m,Serie A
153,SS Lazio,Midfielder,Joseph Marie Minala,"Aug 24, 1996 (23)",Cameroon,30.06.2021,£720k,Serie A
154,SS Lazio,Midfielder,Manuel Lazzari,"Nov 29, 1993 (25)",Italy,30.06.2024,£16.20m,Serie A
155,SS Lazio,Midfielder,Adam Marusic,"Oct 17, 1992 (26)",Montenegro,30.06.2022,£6.30m,Serie A
156,SS Lazio,Midfielder,Djavan Anderson,"Apr 21, 1995 (24)",Netherlands,30.06.2023,£270k,Serie A
157,SS Lazio,Midfielder,Senad Lulic,"Jan 18, 1986 (33)",Bosnia-Herzegovina,30.06.2020,£3.60m,Serie A
158,SS Lazio,Midfielder,Luis Alberto,"Sep 28, 1992 (26)",Spain,30.06.2022,£25.20m,Serie A
159,SS Lazio,Midfielder,André Anderson,"Sep 23, 1999 (19)",Italy,30.06.2023,£810k,Serie A
160,SS Lazio,Forward,Jony,"Jul 9, 1991 (28)",Spain,30.06.2023,£9.00m,Serie A
161,SS Lazio,Forward,Ricardo Kishna,"Jan 4, 1995 (24)",Netherlands,30.06.2020,£900k,Serie A
162,SS Lazio,Forward,Bobby Adekanye,"Feb 14, 1999 (20)",Netherlands,30.06.2022,£540k,Serie A
163,SS Lazio,Forward,Joaquín Correa,"Aug 13, 1994 (25)",Argentina,30.06.2023,£18.00m,Serie A
164,SS Lazio,Forward,Ciro Immobile,"Feb 20, 1990 (29)",Italy,30.06.2023,£36.00m,Serie A
165,SS Lazio,Forward,Felipe Caicedo,"Sep 5, 1988 (31)",Ecuador,30.06.2020,£2.70m,Serie A
166,Atalanta BC,Goalkeeper,Pierluigi Gollini,"Mar 18, 1995 (24)",Italy,30.06.2023,£5.40m,Serie A
167,Atalanta BC,Goalkeeper,Marco Sportiello,"May 10, 1992 (27)",Italy,30.06.2021,£3.60m,Serie A
168,Atalanta BC,Goalkeeper,Francesco Rossi,"Apr 27, 1991 (28)",Italy,30.06.2021,£90k,Serie A
169,Atalanta BC,Defender,Rafael Tolói,"Oct 10, 1990 (28)",Brazil,30.06.2020,£9.90m,Serie A
170,Atalanta BC,Defender,José Luis Palomino,"Jan 5, 1990 (29)",Argentina,30.06.2020,£9.00m,Serie A
171,Atalanta BC,Defender,Simon Kjaer,"Mar 26, 1989 (30)",Denmark,30.06.2020,£7.20m,Serie A
172,Atalanta BC,Defender,Berat Djimsiti,"Feb 19, 1993 (26)",Albania,30.06.2022,£6.75m,Serie A
173,Atalanta BC,Defender,Roger Ibañez,"Nov 23, 1998 (20)",Brazil,30.06.2023,£2.70m,Serie A
174,Atalanta BC,Defender,Andrea Masiello,"Feb 5, 1986 (33)",Italy,30.06.2021,£900k,Serie A
175,Atalanta BC,Defender,Robin Gosens,"Jul 5, 1994 (25)",Germany,30.06.2022,£7.20m,Serie A
176,Atalanta BC,Defender,Guilherme Arana,"Apr 14, 1997 (22)",Brazil,30.06.2020,£2.70m,Serie A
177,Atalanta BC,Defender,Timothy Castagne,"Dec 5, 1995 (23)",Belgium,30.06.2021,£16.20m,Serie A
178,Atalanta BC,Defender,Hans Hateboer,"Jan 9, 1994 (25)",Netherlands,30.06.2022,£13.50m,Serie A
179,Atalanta BC,Midfielder,Marten de Roon,"Mar 29, 1991 (28)",Netherlands,30.06.2021,£21.60m,Serie A
180,Atalanta BC,Midfielder,Remo Freuler,"Apr 15, 1992 (27)",Switzerland,30.06.2022,£18.00m,Serie A
181,Atalanta BC,Midfielder,Ruslan Malinovskyi,"May 4, 1993 (26)",Ukraine,30.06.2024,£11.25m,Serie A
182,Atalanta BC,Midfielder,Mario Pasalic,"Feb 9, 1995 (24)",Croatia,30.06.2020,£9.00m,Serie A
183,Atalanta BC,Forward,Josip Ilicic,"Jan 29, 1988 (31)",Slovenia,30.06.2020,£15.30m,Serie A
184,Atalanta BC,Forward,Papu Gómez,"Feb 15, 1988 (31)",Argentina,30.06.2022,£14.40m,Serie A
185,Atalanta BC,Forward,Duván Zapata,"Apr 1, 1991 (28)",Colombia,30.06.2020,£36.00m,Serie A
186,Atalanta BC,Forward,Luis Muriel,"Apr 16, 1991 (28)",Colombia,30.06.2024,£11.70m,Serie A
187,Atalanta BC,Forward,Musa Barrow,"Nov 14, 1998 (20)",The Gambia,30.06.2023,£4.50m,Serie A
188,ACF Fiorentina,Goalkeeper,Bartlomiej Dragowski,"Aug 19, 1997 (22)",Poland,30.06.2023,£9.00m,Serie A
189,ACF Fiorentina,Goalkeeper,Pietro Terracciano,"Mar 8, 1990 (29)",Italy,-,£720k,Serie A
190,ACF Fiorentina,Defender,Nikola Milenkovic,"Oct 12, 1997 (21)",Serbia,30.06.2022,£27.00m,Serie A
191,ACF Fiorentina,Defender,Germán Pezzella,"Jun 27, 1991 (28)",Argentina,30.06.2022,£16.20m,Serie A
192,ACF Fiorentina,Defender,Jacob Rasmussen,"May 28, 1997 (22)",Denmark,30.06.2023,£3.60m,Serie A
193,ACF Fiorentina,Defender,Federico Ceccherini,"May 11, 1992 (27)",Italy,30.06.2023,£3.15m,Serie A
194,ACF Fiorentina,Defender,Martín Cáceres,"Apr 7, 1987 (32)",Uruguay,30.06.2020,£1.35m,Serie A
195,ACF Fiorentina,Defender,Dalbert,"Sep 8, 1993 (26)",Brazil,30.06.2020,£9.00m,Serie A
196,ACF Fiorentina,Defender,Luca Ranieri,"Apr 23, 1999 (20)",Italy,30.06.2021,£1.80m,Serie A
197,ACF Fiorentina,Defender,Aleksa Terzic,"Aug 17, 1999 (20)",Serbia,30.06.2023,£1.35m,Serie A
198,ACF Fiorentina,Defender,Pol Lirola,"Aug 13, 1997 (22)",Spain,30.06.2020,£11.70m,Serie A
199,ACF Fiorentina,Defender,Lorenzo Venuti,"Apr 12, 1995 (24)",Italy,30.06.2021,£1.80m,Serie A
200,ACF Fiorentina,Midfielder,Erick Pulgar,"Jan 15, 1994 (25)",Chile,30.06.2023,£9.00m,Serie A
201,ACF Fiorentina,Midfielder,Milan Badelj,"Feb 25, 1989 (30)",Croatia,30.06.2020,£8.10m,Serie A
202,ACF Fiorentina,Midfielder,Bryan Dabo,"Feb 18, 1992 (27)",Burkina Faso,30.06.2021,£3.15m,Serie A
203,ACF Fiorentina,Midfielder,Andrés Schetino,"May 26, 1994 (25)",Uruguay,30.06.2020,£180k,Serie A
204,ACF Fiorentina,Midfielder,Marco Benassi,"Sep 8, 1994 (25)",Italy,30.06.2022,£18.00m,Serie A
205,ACF Fiorentina,Midfielder,Szymon Zurkowski,"Sep 25, 1997 (21)",Poland,30.06.2023,£3.60m,Serie A
206,ACF Fiorentina,Midfielder,Gaetano Castrovilli,"Feb 17, 1997 (22)",Italy,30.06.2021,£1.62m,Serie A
207,ACF Fiorentina,Midfielder,Sebastián Cristóforo,"Aug 23, 1993 (26)",Uruguay,30.06.2021,£1.62m,Serie A
208,ACF Fiorentina,Midfielder,Valentin Eysseric,"Mar 25, 1992 (27)",France,30.06.2022,£2.70m,Serie A
209,ACF Fiorentina,Midfielder,Tòfol Montiel,"Apr 11, 2000 (19)",Spain,30.06.2023,£900k,Serie A
210,ACF Fiorentina,Forward,Franck Ribéry,"Apr 7, 1983 (36)",France,30.06.2021,£3.60m,Serie A
211,ACF Fiorentina,Forward,Riccardo Sottil,"Jun 3, 1999 (20)",Italy,30.06.2021,£1.35m,Serie A
212,ACF Fiorentina,Forward,Federico Chiesa,"Oct 25, 1997 (21)",Italy,30.06.2022,£54.00m,Serie A
213,ACF Fiorentina,Forward,Rachid Ghezzal,"May 9, 1992 (27)",Algeria,30.06.2020,£7.20m,Serie A
214,ACF Fiorentina,Forward,Cyril Théréau,"Apr 24, 1983 (36)",France,30.06.2020,£450k,Serie A
215,ACF Fiorentina,Forward,Pedro,"Jun 20, 1997 (22)",Brazil,30.06.2024,£16.20m,Serie A
216,ACF Fiorentina,Forward,Kevin-Prince Boateng,"Mar 6, 1987 (32)",Ghana,30.06.2021,£6.30m,Serie A
217,ACF Fiorentina,Forward,Dusan Vlahovic,"Jan 28, 2000 (19)",Serbia,30.06.2023,£1.35m,Serie A
218,ACF Fiorentina,Forward,Bobby Duncan,"Jun 26, 2001 (18)",England,30.06.2022,-,Serie A
219,Torino FC,Goalkeeper,Salvatore Sirigu,"Jan 12, 1987 (32)",Italy,30.06.2022,£6.75m,Serie A
220,Torino FC,Goalkeeper,Samir Ujkani,"Jul 5, 1988 (31)",Kosovo,30.06.2020,£180k,Serie A
221,Torino FC,Goalkeeper,Antonio Rosati,"Jun 26, 1983 (36)",Italy,30.06.2021,£180k,Serie A
222,Torino FC,Defender,Armando Izzo,"Mar 2, 1992 (27)",Italy,30.06.2024,£18.00m,Serie A
223,Torino FC,Defender,Nicolas N'Koulou,"Mar 27, 1990 (29)",Cameroon,30.06.2021,£18.00m,Serie A
224,Torino FC,Defender,Lyanco,"Feb 1, 1997 (22)",Brazil,30.06.2024,£7.20m,Serie A
225,Torino FC,Defender,Kevin Bonifazi,"May 19, 1996 (23)",Italy,30.06.2022,£4.95m,Serie A
226,Torino FC,Defender,Koffi Djidji,"Nov 30, 1992 (26)",Cote d'Ivoire,30.06.2021,£4.50m,Serie A
227,Torino FC,Defender,Bremer,"Mar 18, 1997 (22)",Brazil,30.06.2023,£1.80m,Serie A
