,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
145,Sevilla FC,Goalkeeper,Bono,"Apr 5, 1991 (28)",Morocco,30.06.2020,£4.50m,La Liga
146,Sevilla FC,Goalkeeper,Javi Díaz,"May 15, 1997 (22)",Spain,30.06.2021,£180k,La Liga
147,Sevilla FC,Defender,Jules Koundé,"Nov 12, 1998 (20)",France,30.06.2024,£22.50m,La Liga
148,Sevilla FC,Defender,Diego Carlos,"Mar 15, 1993 (26)",Brazil,30.06.2024,£13.50m,La Liga
149,Sevilla FC,Defender,Sergi Gómez,"Mar 28, 1992 (27)",Spain,30.06.2022,£7.20m,La Liga
150,Sevilla FC,Defender,Daniel Carriço,"Aug 4, 1988 (31)",Portugal,30.06.2020,£2.70m,La Liga
151,Sevilla FC,Defender,Sergio Reguilón,"Dec 16, 1996 (22)",Spain,30.06.2020,£19.80m,La Liga
152,Sevilla FC,Defender,Sergio Escudero,"Sep 2, 1989 (30)",Spain,30.06.2021,£6.75m,La Liga
153,Sevilla FC,Defender,Jesús Navas,"Nov 21, 1985 (33)",Spain,30.06.2021,£3.60m,La Liga
154,Sevilla FC,Midfielder,Nemanja Gudelj,"Nov 16, 1991 (27)",Serbia,30.06.2023,£5.85m,La Liga
155,Sevilla FC,Midfielder,Fernando,"Jul 25, 1987 (32)",Brazil,30.06.2022,£4.05m,La Liga
156,Sevilla FC,Midfielder,Óliver Torres,"Nov 10, 1994 (24)",Spain,30.06.2024,£15.30m,La Liga
157,Sevilla FC,Midfielder,Éver Banega,"Jun 29, 1988 (31)",Argentina,30.06.2020,£13.50m,La Liga
158,Sevilla FC,Midfielder,Joan Jordán,"Jul 6, 1994 (25)",Spain,30.06.2023,£12.60m,La Liga
159,Sevilla FC,Midfielder,Franco Vázquez,"Feb 22, 1989 (30)",Argentina,30.06.2021,£13.50m,La Liga
160,Sevilla FC,Midfielder,Alejandro Pozo,"Feb 22, 1999 (20)",Spain,30.06.2023,£2.25m,La Liga
161,Sevilla FC,Forward,Lucas Ocampos,"Jul 11, 1994 (25)",Argentina,30.06.2024,£13.50m,La Liga
162,Sevilla FC,Forward,Bryan Gil,"Feb 11, 2001 (18)",Spain,30.06.2022,£9.00m,La Liga
163,Sevilla FC,Forward,Nolito,"Oct 15, 1986 (32)",Spain,30.06.2020,£1.80m,La Liga
164,Sevilla FC,Forward,Rony Lopes,"Dec 28, 1995 (23)",Portugal,30.06.2024,£22.50m,La Liga
165,Sevilla FC,Forward,Munas Dabbur,"May 14, 1992 (27)",Israel,30.06.2023,£13.50m,La Liga
166,Sevilla FC,Forward,Chicharito,"Jun 1, 1988 (31)",Mexico,30.06.2022,£10.80m,La Liga
167,Sevilla FC,Forward,Luuk de Jong,"Aug 27, 1990 (29)",Netherlands,30.06.2023,£10.80m,La Liga
168,Sevilla FC,Forward,Munir El Haddadi,"Sep 1, 1995 (24)",Spain,30.06.2023,£9.00m,La Liga
169,Celta de Vigo,Goalkeeper,Rubén Blanco,"Jul 25, 1995 (24)",Spain,30.06.2023,£2.70m,La Liga
170,Celta de Vigo,Goalkeeper,Sergio Álvarez,"Aug 3, 1986 (33)",Spain,30.06.2020,£1.80m,La Liga
171,Celta de Vigo,Goalkeeper,Iván Villar,"Jul 9, 1997 (22)",Spain,30.06.2023,£270k,La Liga
172,Celta de Vigo,Defender,Néstor Araujo,"Aug 29, 1991 (28)",Mexico,30.06.2023,£7.20m,La Liga
173,Celta de Vigo,Defender,Joseph Aidoo,"Sep 29, 1995 (23)",Ghana,30.06.2024,£7.20m,La Liga
174,Celta de Vigo,Defender,David Costas,"Mar 26, 1995 (24)",Spain,30.06.2022,£2.70m,La Liga
175,Celta de Vigo,Defender,Jorge Sáenz,"Nov 17, 1996 (22)",Spain,30.06.2021,£2.70m,La Liga
176,Celta de Vigo,Defender,Lucas Olaza,"Jul 21, 1994 (25)",Uruguay,30.06.2020,£3.15m,La Liga
177,Celta de Vigo,Defender,David Juncà,"Nov 16, 1993 (25)",Spain,30.06.2023,£1.35m,La Liga
178,Celta de Vigo,Defender,Hugo Mallo,"Jun 22, 1991 (28)",Spain,30.06.2023,£13.50m,La Liga
179,Celta de Vigo,Defender,Kevin Vázquez,"Mar 23, 1993 (26)",Spain,30.06.2023,£450k,La Liga
180,Celta de Vigo,Midfielder,Stanislav Lobotka,"Nov 25, 1994 (24)",Slovakia,30.06.2023,£22.50m,La Liga
181,Celta de Vigo,Midfielder,Okay Yokuslu,"Mar 9, 1994 (25)",Turkey,30.06.2023,£10.80m,La Liga
182,Celta de Vigo,Midfielder,Fran Beltrán,"Feb 3, 1999 (20)",Spain,30.06.2023,£16.20m,La Liga
183,Celta de Vigo,Midfielder,Pape Cheikh,"Aug 8, 1997 (22)",Spain,30.06.2020,£6.30m,La Liga
184,Celta de Vigo,Midfielder,Rafinha,"Feb 12, 1993 (26)",Brazil,30.06.2020,£13.50m,La Liga
185,Celta de Vigo,Forward,Denis Suárez,"Jan 6, 1994 (25)",Spain,30.06.2023,£10.80m,La Liga
186,Celta de Vigo,Forward,Pione Sisto,"Feb 4, 1995 (24)",Denmark,30.06.2021,£7.20m,La Liga
187,Celta de Vigo,Forward,Brais Méndez,"Jan 7, 1997 (22)",Spain,30.06.2021,£18.00m,La Liga
188,Celta de Vigo,Forward,Juan Hernández,"Dec 6, 1994 (24)",Spain,30.06.2020,£900k,La Liga
189,Celta de Vigo,Forward,Santi Mina,"Dec 7, 1995 (23)",Spain,30.06.2024,£27.00m,La Liga
190,Celta de Vigo,Forward,Iago Aspas,"Aug 1, 1987 (32)",Spain,30.06.2023,£22.50m,La Liga
191,Celta de Vigo,Forward,Gabriel Fernández,"May 13, 1994 (25)",Uruguay,30.06.2023,£2.70m,La Liga
192,Celta de Vigo,Forward,Claudio Beauvue,"Apr 16, 1988 (31)",Guadeloupe,30.06.2021,£2.25m,La Liga
193,Athletic Bilbao,Goalkeeper,Unai Simón,"Jun 11, 1997 (22)",Spain,30.06.2023,£5.40m,La Liga
194,Athletic Bilbao,Goalkeeper,Iago Herrerín,"Jan 25, 1988 (31)",Spain,30.06.2021,£3.60m,La Liga
195,Athletic Bilbao,Defender,Iñigo Martínez,"May 17, 1991 (28)",Spain,30.06.2023,£28.80m,La Liga
196,Athletic Bilbao,Defender,Yeray Álvarez,"Jan 24, 1995 (24)",Spain,30.06.2026,£22.50m,La Liga
197,Athletic Bilbao,Defender,Unai Núñez,"Jan 30, 1997 (22)",Spain,30.06.2023,£13.50m,La Liga
198,Athletic Bilbao,Defender,Yuri Berchiche,"Feb 10, 1990 (29)",Spain,30.06.2022,£18.00m,La Liga
199,Athletic Bilbao,Defender,Mikel Balenziaga,"Feb 29, 1988 (31)",Spain,30.06.2021,£1.80m,La Liga
200,Athletic Bilbao,Defender,Cristian Ganea,"May 24, 1992 (27)",Romania,30.06.2021,£900k,La Liga
201,Athletic Bilbao,Defender,Óscar de Marcos,"Apr 14, 1989 (30)",Spain,30.06.2021,£5.40m,La Liga
202,Athletic Bilbao,Defender,Ander Capa,"Feb 8, 1992 (27)",Spain,30.06.2022,£2.70m,La Liga
203,Athletic Bilbao,Defender,Iñigo Lekue,"May 4, 1993 (26)",Spain,30.06.2023,£1.80m,La Liga
204,Athletic Bilbao,Midfielder,Mikel San José,"May 30, 1989 (30)",Spain,30.06.2020,£6.75m,La Liga
205,Athletic Bilbao,Midfielder,Mikel Vesga,"Apr 8, 1993 (26)",Spain,30.06.2021,£3.60m,La Liga
206,Athletic Bilbao,Midfielder,Beñat Etxebarria,"Feb 19, 1987 (32)",Spain,30.06.2020,£3.60m,La Liga
207,Athletic Bilbao,Midfielder,Dani García,"May 24, 1990 (29)",Spain,30.06.2022,£3.60m,La Liga
208,Athletic Bilbao,Midfielder,Raúl García,"Jul 11, 1986 (33)",Spain,30.06.2021,£6.75m,La Liga
209,Athletic Bilbao,Midfielder,Unai López,"Oct 30, 1995 (23)",Spain,30.06.2022,£1.35m,La Liga
210,Athletic Bilbao,Forward,Iker Muniain,"Dec 19, 1992 (26)",Spain,30.06.2024,£13.50m,La Liga
211,Athletic Bilbao,Forward,Iñigo Córdoba,"Mar 13, 1997 (22)",Spain,30.06.2022,£3.60m,La Liga
212,Athletic Bilbao,Forward,Ibai Gómez,"Nov 11, 1989 (29)",Spain,30.06.2022,£3.60m,La Liga
213,Athletic Bilbao,Forward,Gaizka Larrazabal,"Dec 17, 1997 (21)",Spain,30.06.2021,£2.25m,La Liga
214,Athletic Bilbao,Forward,Iñaki Williams,"Jun 15, 1994 (25)",Spain,30.06.2028,£45.00m,La Liga
215,Athletic Bilbao,Forward,Asier Villalibre,"Sep 30, 1997 (21)",Spain,30.06.2023,£1.80m,La Liga
216,Athletic Bilbao,Forward,Aritz Aduriz,"Feb 11, 1981 (38)",Spain,30.06.2020,£900k,La Liga
217,Athletic Bilbao,Forward,Kenan Kodro,"Aug 19, 1993 (26)",Bosnia-Herzegovina,30.06.2022,£900k,La Liga
218,Villarreal CF,Goalkeeper,Sergio Asenjo,"Jun 28, 1989 (30)",Spain,30.06.2022,£10.80m,La Liga
219,Villarreal CF,Goalkeeper,Andrés Fernández,"Dec 17, 1986 (32)",Spain,30.06.2021,£1.35m,La Liga
220,Villarreal CF,Goalkeeper,Mariano Barbosa,"Jul 27, 1984 (35)",Argentina,30.06.2020,£360k,La Liga
221,Villarreal CF,Defender,Ramiro Funes Mori,"Mar 5, 1991 (28)",Argentina,30.06.2022,£7.20m,La Liga
222,Villarreal CF,Defender,Pau Torres,"Jan 16, 1997 (22)",Spain,30.06.2020,£5.40m,La Liga
223,Villarreal CF,Defender,Raúl Albiol,"Sep 4, 1985 (34)",Spain,30.06.2022,£4.50m,La Liga
224,Villarreal CF,Defender,Alberto Moreno,"Jul 5, 1992 (27)",Spain,30.06.2024,£8.10m,La Liga
225,Villarreal CF,Defender,Xavi Quintillà,"Aug 23, 1996 (23)",Spain,30.06.2020,£1.80m,La Liga
226,Villarreal CF,Defender,Mario Gaspar,"Nov 24, 1990 (28)",Spain,30.06.2023,£9.00m,La Liga
227,Villarreal CF,Defender,Rubén Peña,"Jul 18, 1991 (28)",Spain,30.06.2024,£7.20m,La Liga
