,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
57,Feyenoord Rotterdam,Goalkeeper,Nick Marsman,"Oct 1, 1990 (28)",Netherlands,30.06.2021,£585k,Eredivise
58,Feyenoord Rotterdam,Goalkeeper,Elber Evora,"Dec 2, 1999 (19)",Cape Verde,30.06.2020,£68k,Eredivise
59,Feyenoord Rotterdam,Defender,Marcos Senesi,"May 10, 1997 (22)",Argentina,30.06.2023,£6.30m,Eredivise
60,Feyenoord Rotterdam,Defender,Edgar Ié,"May 1, 1994 (25)",Portugal,30.06.2020,£3.15m,Eredivise
61,Feyenoord Rotterdam,Defender,Sven van Beek,"Jul 28, 1994 (25)",Netherlands,30.06.2021,£2.70m,Eredivise
62,Feyenoord Rotterdam,Defender,Jan-Arie van der Heijden,"Mar 3, 1988 (31)",Netherlands,30.06.2020,£1.80m,Eredivise
63,Feyenoord Rotterdam,Defender,Eric Botteghin,"Aug 31, 1987 (32)",Brazil,30.06.2020,£1.80m,Eredivise
64,Feyenoord Rotterdam,Defender,Lutsharel Geertruida,"Jul 18, 2000 (19)",Netherlands,30.06.2020,£450k,Eredivise
65,Feyenoord Rotterdam,Defender,George Johnston,"Sep 1, 1998 (21)",Scotland,30.06.2021,-,Eredivise
66,Feyenoord Rotterdam,Defender,Ridgeciano Haps,"Jun 12, 1993 (26)",Netherlands,30.06.2022,£3.60m,Eredivise
67,Feyenoord Rotterdam,Defender,Tyrell Malacia,"Aug 17, 1999 (20)",Netherlands,30.06.2023,£2.70m,Eredivise
68,Feyenoord Rotterdam,Defender,Rick Karsdorp,"Feb 11, 1995 (24)",Netherlands,30.06.2020,£6.30m,Eredivise
69,Feyenoord Rotterdam,Midfielder,Renato Tapia,"Jul 28, 1995 (24)",Peru,30.06.2020,£2.70m,Eredivise
70,Feyenoord Rotterdam,Midfielder,Leroy Fer,"Jan 5, 1990 (29)",Netherlands,30.06.2020,£5.40m,Eredivise
71,Feyenoord Rotterdam,Midfielder,Yassin Ayoub,"Mar 6, 1994 (25)",Morocco,30.06.2022,£3.15m,Eredivise
72,Feyenoord Rotterdam,Midfielder,Wouter Burger,"Feb 16, 2001 (18)",Netherlands,30.06.2023,£900k,Eredivise
73,Feyenoord Rotterdam,Midfielder,Achraf El Bouchataoui,"Jan 12, 2000 (19)",Netherlands,30.06.2022,£90k,Eredivise
74,Feyenoord Rotterdam,Midfielder,Jens Toornstra,"Apr 4, 1989 (30)",Netherlands,30.06.2022,£3.60m,Eredivise
75,Feyenoord Rotterdam,Midfielder,Orkun Kökcü,"Dec 29, 2000 (18)",Turkey,30.06.2023,£2.70m,Eredivise
76,Feyenoord Rotterdam,Midfielder,Liam Kelly,"Nov 22, 1995 (23)",Ireland,30.06.2022,£900k,Eredivise
77,Feyenoord Rotterdam,Forward,Sam Larsson,"Apr 10, 1993 (26)",Sweden,30.06.2021,£5.40m,Eredivise
78,Feyenoord Rotterdam,Forward,Steven Berghuis,"Dec 19, 1991 (27)",Netherlands,30.06.2022,£10.80m,Eredivise
79,Feyenoord Rotterdam,Forward,Luciano Narsingh,"Sep 13, 1990 (29)",Netherlands,30.06.2021,£2.25m,Eredivise
80,Feyenoord Rotterdam,Forward,Luis Sinisterra,"Jun 17, 1999 (20)",Colombia,30.06.2021,£900k,Eredivise
81,Feyenoord Rotterdam,Forward,Nicolai Jörgensen,"Jan 15, 1991 (28)",Denmark,30.06.2021,£6.75m,Eredivise
82,Feyenoord Rotterdam,Forward,Naoufal Bannis,"Mar 11, 2002 (17)",Netherlands,30.06.2021,-,Eredivise
83,AZ Alkmaar,Goalkeeper,Marco Bizot,"Mar 10, 1991 (28)",Netherlands,30.06.2021,£4.05m,Eredivise
84,AZ Alkmaar,Goalkeeper,Jasper Schendelaar,"Sep 2, 2000 (19)",Netherlands,30.06.2021,£675k,Eredivise
85,AZ Alkmaar,Goalkeeper,Rody de Boer,"Aug 22, 1997 (22)",Netherlands,30.06.2022,£360k,Eredivise
86,AZ Alkmaar,Defender,Stijn Wuytens,"Oct 8, 1989 (29)",Belgium,30.06.2020,£1.35m,Eredivise
87,AZ Alkmaar,Defender,Pantelis Hatzidiakos,"Jan 18, 1997 (22)",Greece,30.06.2021,£720k,Eredivise
88,AZ Alkmaar,Defender,Ron Vlaar,"Feb 16, 1985 (34)",Netherlands,30.06.2020,£675k,Eredivise
89,AZ Alkmaar,Defender,Leon Bergsma,"Jan 25, 1997 (22)",Netherlands,30.06.2022,£270k,Eredivise
90,AZ Alkmaar,Defender,Joris Kramer,"Aug 2, 1996 (23)",Netherlands,30.06.2021,£270k,Eredivise
91,AZ Alkmaar,Defender,Thomas Ouwejan,"Sep 30, 1996 (22)",Netherlands,30.06.2022,£2.70m,Eredivise
92,AZ Alkmaar,Defender,Owen Wijndal,"Nov 28, 1999 (19)",Netherlands,30.06.2023,£900k,Eredivise
93,AZ Alkmaar,Defender,Jonas Svensson,"Mar 6, 1993 (26)",Norway,30.06.2021,£3.60m,Eredivise
94,AZ Alkmaar,Defender,Yukinari Sugawara,"Jun 28, 2000 (19)",Japan,30.06.2020,£225k,Eredivise
95,AZ Alkmaar,Midfielder,Jordy Clasie,"Jun 27, 1991 (28)",Netherlands,30.06.2021,£4.95m,Eredivise
96,AZ Alkmaar,Midfielder,Teun Koopmeiners,"Feb 28, 1998 (21)",Netherlands,30.06.2022,£4.50m,Eredivise
97,AZ Alkmaar,Midfielder,Fredrik Midtsjö,"Aug 11, 1993 (26)",Norway,30.06.2022,£3.60m,Eredivise
98,AZ Alkmaar,Midfielder,Dani de Wit,"Jan 28, 1998 (21)",Netherlands,30.06.2024,£900k,Eredivise
99,AZ Alkmaar,Midfielder,Tijjani Reijnders,"Jul 29, 1998 (21)",Netherlands,30.06.2023,£630k,Eredivise
100,AZ Alkmaar,Midfielder,Kenzo Goudmijn,"Dec 18, 2001 (17)",Netherlands,30.06.2020,£540k,Eredivise
101,AZ Alkmaar,Forward,Oussama Idrissi,"Feb 26, 1996 (23)",Morocco,30.06.2022,£4.50m,Eredivise
102,AZ Alkmaar,Forward,Calvin Stengs,"Dec 18, 1998 (20)",Netherlands,30.06.2023,£6.30m,Eredivise
103,AZ Alkmaar,Forward,Albert Gudmundsson,"Jun 15, 1997 (22)",Iceland,30.06.2022,£2.25m,Eredivise
104,AZ Alkmaar,Forward,Zakaria Aboukhlal,"Feb 18, 2000 (19)",Netherlands,30.06.2023,£540k,Eredivise
105,AZ Alkmaar,Forward,Myron Boadu,"Jan 14, 2001 (18)",Netherlands,30.06.2023,£1.80m,Eredivise
106,AZ Alkmaar,Forward,Ferdy Druijf,"Feb 12, 1998 (21)",Netherlands,30.06.2023,£1.13m,Eredivise
107,AZ Alkmaar,Forward,Fred Friday,"May 22, 1995 (24)",Nigeria,30.06.2020,£315k,Eredivise
108,FC Utrecht,Goalkeeper,David Jensen,"Mar 25, 1992 (27)",Denmark,30.06.2021,£2.25m,Eredivise
109,FC Utrecht,Goalkeeper,Thijmen Nijhuis,"Jul 25, 1998 (21)",Netherlands,30.06.2022,£225k,Eredivise
110,FC Utrecht,Goalkeeper,Maarten Paes,"May 14, 1998 (21)",Netherlands,30.06.2021,£180k,Eredivise
111,FC Utrecht,Defender,Justin Hoogma,"Jun 11, 1998 (21)",Netherlands,30.06.2020,£2.25m,Eredivise
112,FC Utrecht,Defender,Willem Janssen,"Jul 4, 1986 (33)",Netherlands,30.06.2021,£1.80m,Eredivise
113,FC Utrecht,Defender,Christopher Mamengi,"Apr 3, 2001 (18)",Netherlands,30.06.2023,£90k,Eredivise
114,FC Utrecht,Defender,Leon Guwara,"Jun 28, 1996 (23)",Germany,30.06.2021,£810k,Eredivise
115,FC Utrecht,Defender,Sean Klaiber,"Jul 31, 1994 (25)",Netherlands,30.06.2022,£2.70m,Eredivise
116,FC Utrecht,Defender,Giovanni Troupée,"Mar 20, 1998 (21)",Netherlands,30.06.2021,£1.13m,Eredivise
117,FC Utrecht,Defender,Mark van der Maarel,"Aug 12, 1989 (30)",Netherlands,30.06.2021,£900k,Eredivise
118,FC Utrecht,Midfielder,Rico Strieder,"Jul 6, 1992 (27)",Germany,30.06.2021,£1.13m,Eredivise
119,FC Utrecht,Midfielder,Adam Maher,"Jul 20, 1993 (26)",Netherlands,30.06.2022,£3.60m,Eredivise
120,FC Utrecht,Midfielder,Joris van Overeem,"Jun 1, 1994 (25)",Netherlands,30.06.2022,£1.58m,Eredivise
121,FC Utrecht,Midfielder,Urby Emanuelson,"Jun 16, 1986 (33)",Netherlands,30.06.2020,£1.13m,Eredivise
122,FC Utrecht,Midfielder,Simon Gustafson,"Jan 11, 1995 (24)",Sweden,30.06.2022,£2.70m,Eredivise
123,FC Utrecht,Midfielder,Sander van de Streek,"Mar 24, 1993 (26)",Netherlands,30.06.2021,£2.70m,Eredivise
124,FC Utrecht,Midfielder,Bart Ramselaar,"Jun 29, 1996 (23)",Netherlands,30.06.2022,£2.25m,Eredivise
125,FC Utrecht,Midfielder,Justin Lonwijk,"Dec 21, 1999 (19)",Netherlands,30.06.2022,£315k,Eredivise
126,FC Utrecht,Forward,Patrick Joosten,"Apr 14, 1996 (23)",Netherlands,30.06.2020,£810k,Eredivise
127,FC Utrecht,Forward,Gyrano Kerk,"Dec 2, 1995 (23)",Netherlands,30.06.2023,£3.15m,Eredivise
128,FC Utrecht,Forward,Vaclav Cerny,"Oct 17, 1997 (21)",Czech Republic,30.06.2022,£900k,Eredivise
129,FC Utrecht,Forward,Adrián Dalmau,"Mar 23, 1994 (25)",Spain,30.06.2022,£3.60m,Eredivise
130,FC Utrecht,Forward,Jean-Christophe Bahebeck,"May 1, 1993 (26)",France,30.06.2020,£1.35m,Eredivise
131,FC Utrecht,Forward,Issah Abass,"Sep 26, 1998 (20)",Ghana,30.06.2023,£1.13m,Eredivise
132,FC Utrecht,Forward,Simon Makienok,"Nov 21, 1990 (28)",Denmark,30.06.2020,£720k,Eredivise
133,Vitesse Arnhem,Goalkeeper,Konstantinos Lamprou,"Sep 18, 1991 (27)",Greece,30.06.2020,£630k,Eredivise
134,Vitesse Arnhem,Goalkeeper,Jamal Blackman,"Oct 27, 1993 (25)",England,30.06.2020,£450k,Eredivise
135,Vitesse Arnhem,Goalkeeper,Jeroen Houwen,"Feb 18, 1996 (23)",Netherlands,30.06.2021,£360k,Eredivise
136,Vitesse Arnhem,Goalkeeper,Remko Pasveer,"Nov 8, 1983 (35)",Netherlands,30.06.2020,£225k,Eredivise
137,Vitesse Arnhem,Defender,Tomas Hajek,"Dec 1, 1991 (27)",Czech Republic,30.06.2022,£810k,Eredivise
138,Vitesse Arnhem,Defender,Armando Obispo,"Mar 5, 1999 (20)",Netherlands,30.06.2020,£675k,Eredivise
139,Vitesse Arnhem,Defender,Danilho Doekhi,"Jun 30, 1998 (21)",Netherlands,30.06.2022,£675k,Eredivise
140,Vitesse Arnhem,Defender,Max Clark,"Jan 19, 1996 (23)",England,30.06.2021,£675k,Eredivise
141,Vitesse Arnhem,Defender,Eli Dasa,"Dec 3, 1992 (26)",Israel,30.06.2022,£1.35m,Eredivise
142,Vitesse Arnhem,Defender,Julian Lelieveld,"Nov 24, 1997 (21)",Netherlands,30.06.2020,£450k,Eredivise
143,Vitesse Arnhem,Midfielder,Riechedly Bazoer,"Oct 12, 1996 (22)",Netherlands,30.06.2022,£2.25m,Eredivise
144,Vitesse Arnhem,Midfielder,Matus Bero,"Sep 6, 1995 (24)",Slovakia,30.06.2022,£1.80m,Eredivise
145,Vitesse Arnhem,Midfielder,Charly Musonda Jr.,"Oct 15, 1996 (22)",Belgium,30.06.2020,£1.80m,Eredivise
146,Vitesse Arnhem,Midfielder,Navarone Foor,"Feb 4, 1992 (27)",Netherlands,30.06.2020,£1.58m,Eredivise
147,Vitesse Arnhem,Midfielder,Richie Musaba,"Dec 6, 2000 (18)",Netherlands,30.06.2022,-,Eredivise
148,Vitesse Arnhem,Forward,Bryan Linssen,"Oct 8, 1990 (28)",Netherlands,30.06.2020,£2.70m,Eredivise
149,Vitesse Arnhem,Forward,Oussama Tannane,"Mar 23, 1994 (25)",Morocco,30.06.2022,£1.13m,Eredivise
150,Vitesse Arnhem,Forward,Roy Beerens,"Dec 22, 1987 (31)",Netherlands,30.06.2021,£810k,Eredivise
151,Vitesse Arnhem,Forward,Hilary Gong,"Oct 10, 1998 (20)",Nigeria,30.06.2022,£405k,Eredivise
152,Vitesse Arnhem,Forward,Thomas Buitink,"Jun 14, 2000 (19)",Netherlands,30.06.2022,£2.25m,Eredivise
153,Vitesse Arnhem,Forward,Tim Matavz,"Jan 13, 1989 (30)",Slovenia,30.06.2020,£1.80m,Eredivise
154,Vitesse Arnhem,Forward,Nouha Dicko,"May 14, 1992 (27)",Mali,30.06.2020,£1.35m,Eredivise
155,Vitesse Arnhem,Forward,Jay-Roy Grot,"Mar 13, 1998 (21)",Netherlands,30.06.2020,£1.13m,Eredivise
156,Vitesse Arnhem,Forward,Oussama Darfalou,"Sep 29, 1993 (25)",Algeria,30.06.2022,£900k,Eredivise
157,SC Heerenveen,Goalkeeper,Warner Hahn,"Jun 15, 1992 (27)",Netherlands,30.06.2020,£1.35m,Eredivise
158,SC Heerenveen,Goalkeeper,Filip Bednarek,"Sep 26, 1992 (26)",Poland,30.06.2020,£225k,Eredivise
159,SC Heerenveen,Goalkeeper,Trevor Doornbusch,"Jul 6, 1999 (20)",Netherlands,30.06.2020,£90k,Eredivise
160,SC Heerenveen,Defender,Daniel Höegh,"Jan 6, 1991 (28)",Denmark,06.2020,£1.35m,Eredivise
161,SC Heerenveen,Defender,Ibrahim Dresevic,"Jan 24, 1997 (22)",Kosovo,30.06.2022,£450k,Eredivise
162,SC Heerenveen,Defender,Andreas Skovgaard,"Mar 27, 1997 (22)",Denmark,30.06.2022,£360k,Eredivise
163,SC Heerenveen,Defender,Sven Botman,"Jan 12, 2000 (19)",Netherlands,30.06.2020,£270k,Eredivise
164,SC Heerenveen,Defender,Lucas Woudenberg,"Apr 25, 1994 (25)",Netherlands,30.06.2022,£810k,Eredivise
165,SC Heerenveen,Defender,Van Hau Doan,"Apr 19, 1999 (20)",Vietnam,30.06.2020,£135k,Eredivise
166,SC Heerenveen,Defender,Ricardo van Rhijn,"Jun 13, 1991 (28)",Netherlands,30.06.2020,£900k,Eredivise
167,SC Heerenveen,Defender,Sherel Floranus,"Aug 23, 1998 (21)",Netherlands,30.06.2021,£540k,Eredivise
168,SC Heerenveen,Midfielder,Hicham Faik,"Mar 19, 1992 (27)",Netherlands,30.06.2022,£720k,Eredivise
169,SC Heerenveen,Midfielder,Joey Veerman,"Nov 19, 1998 (20)",Netherlands,30.06.2022,£315k,Eredivise
170,SC Heerenveen,Midfielder,Hamdi Akujobi,"Jan 20, 2000 (19)",Netherlands,30.06.2022,£68k,Eredivise
171,SC Heerenveen,Midfielder,Jordy Bruijn,"Jul 23, 1996 (23)",Netherlands,30.06.2021,£405k,Eredivise
172,SC Heerenveen,Midfielder,Rodney Kongolo,"Jan 9, 1998 (21)",Netherlands,30.06.2022,£360k,Eredivise
173,SC Heerenveen,Midfielder,Jan Ras,"Jan 28, 1999 (20)",Netherlands,-,-,Eredivise
174,SC Heerenveen,Midfielder,Alen Halilovic,"Jun 18, 1996 (23)",Croatia,30.06.2020,£1.80m,Eredivise
175,SC Heerenveen,Midfielder,Emil Frederiksen,"Sep 5, 2000 (19)",Denmark,30.06.2022,£135k,Eredivise
176,SC Heerenveen,Midfielder,Rami Hajal,"Sep 17, 2001 (17)",Sweden,30.06.2021,-,Eredivise
177,SC Heerenveen,Forward,Chidera Ejuke,"Jan 2, 1998 (21)",Nigeria,30.06.2023,£1.80m,Eredivise
178,SC Heerenveen,Forward,Nemanja Mihajlovic,"Jan 19, 1996 (23)",Serbia,30.06.2021,£720k,Eredivise
179,SC Heerenveen,Forward,Arjen van der Heide,"Nov 19, 2001 (17)",Netherlands,30.06.2020,-,Eredivise
180,SC Heerenveen,Forward,Mitchell van Bergen,"Aug 27, 1999 (20)",Netherlands,30.06.2022,£2.70m,Eredivise
181,SC Heerenveen,Forward,Anders Dreyer,"May 2, 1998 (21)",Denmark,30.06.2020,£540k,Eredivise
182,SC Heerenveen,Forward,Jens Odgaard,"Mar 31, 1999 (20)",Denmark,30.06.2022,£1.62m,Eredivise
183,FC Groningen,Goalkeeper,Sergio Padt,"Jun 6, 1990 (29)",Netherlands,30.06.2021,£1.80m,Eredivise
184,FC Groningen,Goalkeeper,Jan Hoekstra,"Aug 4, 1998 (21)",Netherlands,30.06.2022,£180k,Eredivise
185,FC Groningen,Goalkeeper,Marco van Duin,"Feb 11, 1987 (32)",Netherlands,30.06.2020,£68k,Eredivise
186,FC Groningen,Goalkeeper,Jan de Boer,"May 20, 2000 (19)",Netherlands,30.06.2020,-,Eredivise
187,FC Groningen,Defender,Samir Memisevic,"Aug 13, 1993 (26)",Bosnia-Herzegovina,30.06.2021,£2.25m,Eredivise
188,FC Groningen,Defender,Mike te Wierik,"Jun 8, 1992 (27)",Netherlands,30.06.2020,£1.13m,Eredivise
189,FC Groningen,Defender,Ko Itakura,"Jan 27, 1997 (22)",Japan,30.06.2020,£450k,Eredivise
190,FC Groningen,Defender,Django Warmerdam,"Sep 2, 1995 (24)",Netherlands,30.06.2020,£900k,Eredivise
191,FC Groningen,Defender,Bart van Hintum,"Jan 16, 1987 (32)",Netherlands,30.06.2021,£360k,Eredivise
192,FC Groningen,Defender,Amir Absalem,"Jun 19, 1997 (22)",Netherlands,30.06.2021,£270k,Eredivise
193,FC Groningen,Defender,Deyovaisio Zeefuik,"Mar 11, 1998 (21)",Netherlands,30.06.2021,£900k,Eredivise
194,FC Groningen,Defender,Tapmahoe Sopacua,"May 4, 2000 (19)",Netherlands,30.06.2020,£68k,Eredivise
195,FC Groningen,Midfielder,Azor Matusiwa,"Apr 28, 1998 (21)",Netherlands,30.06.2023,£900k,Eredivise
196,FC Groningen,Midfielder,Ahmed El Messaoudi,"Aug 3, 1995 (24)",Morocco,30.06.2022,£900k,Eredivise
197,FC Groningen,Midfielder,Nicklas Strunck Jakobsen,"Aug 17, 1999 (20)",Denmark,30.06.2023,£540k,Eredivise
198,FC Groningen,Midfielder,Ramon Pascal Lundqvist,"May 10, 1997 (22)",Sweden,30.06.2023,£540k,Eredivise
199,FC Groningen,Midfielder,Ajdin Hrustic,"Jul 5, 1996 (23)",Australia,30.06.2021,£450k,Eredivise
200,FC Groningen,Midfielder,Sam Schreck,"Jan 29, 1999 (20)",Germany,30.06.2023,£360k,Eredivise
201,FC Groningen,Midfielder,Daniël van Kaam,"Jun 23, 2000 (19)",Netherlands,30.06.2020,£180k,Eredivise
202,FC Groningen,Forward,Mo El Hankouri,"Jul 1, 1997 (22)",Morocco,30.06.2021,£450k,Eredivise
203,FC Groningen,Forward,Michael Breij,"Jan 15, 1997 (22)",Netherlands,30.06.2020,£360k,Eredivise
204,FC Groningen,Forward,Gabriel Gudmundsson,"Apr 29, 1999 (20)",Sweden,30.06.2022,£270k,Eredivise
205,FC Groningen,Forward,Joel Asoro,"Apr 27, 1999 (20)",Sweden,30.06.2020,£1.80m,Eredivise
206,FC Groningen,Forward,Kaj Sierhuis,"Apr 27, 1998 (21)",Netherlands,30.06.2020,£1.13m,Eredivise
207,FC Groningen,Forward,Charlison Benschop,"Aug 21, 1989 (30)",Curacao,30.06.2021,£450k,Eredivise
208,FC Groningen,Forward,Thijs Dallinga,"Aug 3, 2000 (19)",Netherlands,30.06.2021,£68k,Eredivise
209,FC Groningen,Forward,Romano Postema,"Feb 7, 2002 (17)",Netherlands,30.06.2022,-,Eredivise
210,Heracles Almelo,Goalkeeper,Janis Blaswich,"May 2, 1991 (28)",Germany,30.06.2021,£900k,Eredivise
211,Heracles Almelo,Goalkeeper,Michael Brouwer,"Jan 21, 1993 (26)",Netherlands,30.06.2020,£90k,Eredivise
212,Heracles Almelo,Goalkeeper,Koen Bucker,"Jun 18, 1996 (23)",Netherlands,30.06.2020,£45k,Eredivise
213,Heracles Almelo,Defender,Dario van den Buijs,"Sep 12, 1995 (24)",Belgium,30.06.2020,£810k,Eredivise
