,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
30,Borussia Dortmund,Defender,Mats Hummels,"Dec 16, 1988 (30)",Germany,30.06.2022,£31.50m,Bundesliga
31,Borussia Dortmund,Defender,Dan-Axel Zagadou,"Jun 3, 1999 (20)",France,30.06.2022,£25.20m,Bundesliga
32,Borussia Dortmund,Defender,Leonardo Balerdi,"Jan 26, 1999 (20)",Argentina,30.06.2024,£12.60m,Bundesliga
33,Borussia Dortmund,Defender,Nico Schulz,"Apr 1, 1993 (26)",Germany,30.06.2024,£22.50m,Bundesliga
34,Borussia Dortmund,Defender,Marcel Schmelzer,"Jan 22, 1988 (31)",Germany,30.06.2021,£2.25m,Bundesliga
35,Borussia Dortmund,Defender,Achraf Hakimi,"Nov 4, 1998 (20)",Morocco,30.06.2020,£27.00m,Bundesliga
36,Borussia Dortmund,Defender,Lukasz Piszczek,"Jun 3, 1985 (34)",Poland,30.06.2020,£2.70m,Bundesliga
37,Borussia Dortmund,Defender,Mateu Morey,"Mar 2, 2000 (19)",Spain,30.06.2024,£270k,Bundesliga
38,Borussia Dortmund,Midfielder,Axel Witsel,"Jan 12, 1989 (30)",Belgium,30.06.2022,£28.80m,Bundesliga
39,Borussia Dortmund,Midfielder,Julian Weigl,"Sep 8, 1995 (24)",Germany,30.06.2021,£22.50m,Bundesliga
40,Borussia Dortmund,Midfielder,Tobias Raschl,"Feb 21, 2000 (19)",Germany,30.06.2022,£720k,Bundesliga
41,Borussia Dortmund,Midfielder,Thomas Delaney,"Sep 3, 1991 (28)",Denmark,30.06.2022,£24.30m,Bundesliga
42,Borussia Dortmund,Midfielder,Mahmoud Dahoud,"Jan 1, 1996 (23)",Germany,30.06.2022,£12.60m,Bundesliga
43,Borussia Dortmund,Midfielder,Patrick Osterhage,"Feb 1, 2000 (19)",Germany,30.06.2021,£270k,Bundesliga
44,Borussia Dortmund,Midfielder,Raphaël Guerreiro,"Dec 22, 1993 (25)",Portugal,30.06.2020,£22.50m,Bundesliga
45,Borussia Dortmund,Midfielder,Marco Reus,"May 31, 1989 (30)",Germany,30.06.2023,£45.00m,Bundesliga
46,Borussia Dortmund,Midfielder,Mario Götze,"Jun 3, 1992 (27)",Germany,30.06.2020,£22.50m,Bundesliga
47,Borussia Dortmund,Forward,Julian Brandt,"May 2, 1996 (23)",Germany,30.06.2024,£45.00m,Bundesliga
48,Borussia Dortmund,Forward,Thorgan Hazard,"Mar 29, 1993 (26)",Belgium,30.06.2024,£34.20m,Bundesliga
49,Borussia Dortmund,Forward,Jacob Bruun Larsen,"Sep 19, 1998 (20)",Denmark,30.06.2021,£13.50m,Bundesliga
50,Borussia Dortmund,Forward,Jadon Sancho,"Mar 25, 2000 (19)",England,30.06.2022,£90.00m,Bundesliga
51,Borussia Dortmund,Forward,Paco Alcácer,"Aug 30, 1993 (26)",Spain,30.06.2023,£33.30m,Bundesliga
52,RB Leipzig,Goalkeeper,Péter Gulácsi,"May 6, 1990 (29)",Hungary,30.06.2022,£10.80m,Bundesliga
53,RB Leipzig,Goalkeeper,Yvon Mvogo,"Jun 6, 1994 (25)",Switzerland,30.06.2021,£2.70m,Bundesliga
54,RB Leipzig,Goalkeeper,Philipp Tschauner,"Nov 3, 1985 (33)",Germany,30.06.2021,£360k,Bundesliga
55,RB Leipzig,Defender,Ibrahima Konaté,"May 25, 1999 (20)",France,30.06.2023,£40.50m,Bundesliga
56,RB Leipzig,Defender,Dayot Upamecano,"Oct 27, 1998 (20)",France,30.06.2021,£27.00m,Bundesliga
57,RB Leipzig,Defender,Willi Orban,"Nov 3, 1992 (26)",Hungary,30.06.2022,£18.00m,Bundesliga
58,RB Leipzig,Defender,Ethan Ampadu,"Sep 14, 2000 (19)",Wales,30.06.2020,£9.00m,Bundesliga
59,RB Leipzig,Defender,Malik Talabidi,"Jul 16, 2001 (18)",Germany,30.06.2021,£135k,Bundesliga
60,RB Leipzig,Defender,Frederik Jäkel,"Mar 7, 2001 (18)",Germany,30.06.2022,£135k,Bundesliga
61,RB Leipzig,Defender,Anton Rücker,"Feb 13, 2001 (18)",Germany,30.06.2020,£45k,Bundesliga
62,RB Leipzig,Defender,Marcel Halstenberg,"Sep 27, 1991 (27)",Germany,30.06.2022,£19.80m,Bundesliga
63,RB Leipzig,Defender,Marcelo Saracchi,"Apr 23, 1998 (21)",Uruguay,30.06.2023,£9.00m,Bundesliga
64,RB Leipzig,Defender,Luan Cândido,"Feb 2, 2001 (18)",Brazil,30.06.2023,£3.60m,Bundesliga
65,RB Leipzig,Defender,Lukas Klostermann,"Jun 3, 1996 (23)",Germany,30.06.2021,£27.00m,Bundesliga
66,RB Leipzig,Defender,Nordi Mukiele,"Nov 1, 1997 (21)",France,30.06.2023,£13.50m,Bundesliga
67,RB Leipzig,Midfielder,Diego Demme,"Nov 21, 1991 (27)",Germany,30.06.2021,£15.30m,Bundesliga
68,RB Leipzig,Midfielder,Tyler Adams,"Feb 14, 1999 (20)",United States,30.06.2023,£11.70m,Bundesliga
69,RB Leipzig,Midfielder,Stefan Ilsanker,"May 18, 1989 (30)",Austria,30.06.2020,£4.05m,Bundesliga
70,RB Leipzig,Midfielder,Tom Krauß,"Jun 22, 2001 (18)",Germany,30.06.2021,£270k,Bundesliga
71,RB Leipzig,Midfielder,Max Winter,"Feb 16, 2001 (18)",Germany,30.06.2020,£45k,Bundesliga
72,RB Leipzig,Midfielder,Kevin Kampl,"Oct 9, 1990 (28)",Slovenia,30.06.2021,£19.80m,Bundesliga
73,RB Leipzig,Midfielder,Amadou Haidara,"Jan 31, 1998 (21)",Mali,30.06.2023,£18.00m,Bundesliga
74,RB Leipzig,Midfielder,Konrad Laimer,"May 27, 1997 (22)",Austria,30.06.2021,£15.30m,Bundesliga
75,RB Leipzig,Midfielder,Christopher Nkunku,"Nov 14, 1997 (21)",France,30.06.2024,£10.80m,Bundesliga
76,RB Leipzig,Midfielder,Mads Bidstrup,"Feb 25, 2001 (18)",Denmark,30.06.2023,£900k,Bundesliga
77,RB Leipzig,Midfielder,Hannes Wolf,"Apr 16, 1999 (20)",Austria,30.06.2024,£10.80m,Bundesliga
78,RB Leipzig,Forward,Emil Forsberg,"Oct 23, 1991 (27)",Sweden,30.06.2022,£22.50m,Bundesliga
79,RB Leipzig,Forward,Ademola Lookman,"Oct 20, 1997 (21)",England,30.06.2024,£18.00m,Bundesliga
80,RB Leipzig,Forward,Jacob Ruhner,"Jan 27, 2001 (18)",Germany,30.06.2020,£45k,Bundesliga
81,RB Leipzig,Forward,Marcel Sabitzer,"Mar 17, 1994 (25)",Austria,30.06.2022,£22.50m,Bundesliga
82,RB Leipzig,Forward,Fabrice Hartmann,"Mar 2, 2001 (18)",Germany,30.06.2021,£360k,Bundesliga
83,RB Leipzig,Forward,Oliver Bias,"Jun 15, 2001 (18)",Germany,30.06.2020,£45k,Bundesliga
84,RB Leipzig,Forward,Timo Werner,"Mar 6, 1996 (23)",Germany,30.06.2023,£58.50m,Bundesliga
85,RB Leipzig,Forward,Yussuf Poulsen,"Jun 15, 1994 (25)",Denmark,30.06.2022,£31.50m,Bundesliga
86,RB Leipzig,Forward,Matheus Cunha,"May 27, 1999 (20)",Brazil,30.06.2023,£13.50m,Bundesliga
87,RB Leipzig,Forward,Patrik Schick,"Jan 24, 1996 (23)",Czech Republic,30.06.2020,£13.50m,Bundesliga
88,Bayer 04 Leverkusen,Goalkeeper,Lukas Hradecky,"Nov 24, 1989 (29)",Finland,30.06.2023,£7.20m,Bundesliga
89,Bayer 04 Leverkusen,Goalkeeper,Ramazan Özcan,"Jun 28, 1984 (35)",Austria,30.06.2020,£270k,Bundesliga
90,Bayer 04 Leverkusen,Goalkeeper,Niklas Lomb,"Jul 28, 1993 (26)",Germany,30.06.2020,£225k,Bundesliga
91,Bayer 04 Leverkusen,Defender,Jonathan Tah,"Feb 11, 1996 (23)",Germany,30.06.2023,£36.00m,Bundesliga
92,Bayer 04 Leverkusen,Defender,Panagiotis Retsos,"Aug 9, 1998 (21)",Greece,30.06.2022,£11.70m,Bundesliga
93,Bayer 04 Leverkusen,Defender,Sven Bender,"Apr 27, 1989 (30)",Germany,30.06.2021,£8.10m,Bundesliga
94,Bayer 04 Leverkusen,Defender,Aleksandar Dragovic,"Mar 6, 1991 (28)",Austria,30.06.2021,£8.10m,Bundesliga
95,Bayer 04 Leverkusen,Defender,Wendell,"Jul 20, 1993 (26)",Brazil,30.06.2021,£18.00m,Bundesliga
96,Bayer 04 Leverkusen,Defender,Daley Sinkgraven,"Jul 4, 1995 (24)",Netherlands,30.06.2023,£2.70m,Bundesliga
97,Bayer 04 Leverkusen,Defender,Mitchell Weiser,"Apr 21, 1994 (25)",Germany,30.06.2023,£12.60m,Bundesliga
98,Bayer 04 Leverkusen,Midfielder,Lars Bender,"Apr 27, 1989 (30)",Germany,30.06.2021,£8.10m,Bundesliga
99,Bayer 04 Leverkusen,Midfielder,Julian Baumgartlinger,"Jan 2, 1988 (31)",Austria,30.06.2020,£3.15m,Bundesliga
100,Bayer 04 Leverkusen,Midfielder,Adrian Stanilewicz,"Feb 22, 2000 (19)",Poland,30.06.2020,£45k,Bundesliga
101,Bayer 04 Leverkusen,Midfielder,Kerem Demirbay,"Jul 3, 1993 (26)",Germany,30.06.2024,£28.80m,Bundesliga
102,Bayer 04 Leverkusen,Midfielder,Charles Aránguiz,"Apr 17, 1989 (30)",Chile,30.06.2020,£13.50m,Bundesliga
103,Bayer 04 Leverkusen,Midfielder,Kai Havertz,"Jun 11, 1999 (20)",Germany,30.06.2022,£81.00m,Bundesliga
104,Bayer 04 Leverkusen,Midfielder,Nadiem Amiri,"Oct 27, 1996 (22)",Germany,30.06.2024,£15.30m,Bundesliga
105,Bayer 04 Leverkusen,Forward,Leon Bailey,"Aug 9, 1997 (22)",Jamaica,30.06.2023,£36.00m,Bundesliga
106,Bayer 04 Leverkusen,Forward,Paulinho,"Jul 15, 2000 (19)",Brazil,30.06.2023,£13.50m,Bundesliga
107,Bayer 04 Leverkusen,Forward,Moussa Diaby,"Jul 7, 1999 (20)",France,30.06.2024,£10.80m,Bundesliga
108,Bayer 04 Leverkusen,Forward,Karim Bellarabi,"Apr 8, 1990 (29)",Germany,30.06.2021,£13.50m,Bundesliga
109,Bayer 04 Leverkusen,Forward,Kevin Volland,"Jul 30, 1992 (27)",Germany,30.06.2021,£27.00m,Bundesliga
110,Bayer 04 Leverkusen,Forward,Lucas Alario,"Oct 8, 1992 (26)",Argentina,30.06.2022,£15.30m,Bundesliga
111,Bayer 04 Leverkusen,Forward,Joel Pohjanpalo,"Sep 13, 1994 (25)",Finland,30.06.2022,£900k,Bundesliga
112,Borussia Mönchengladbach,Goalkeeper,Yann Sommer,"Dec 17, 1988 (30)",Switzerland,30.06.2021,£10.80m,Bundesliga
113,Borussia Mönchengladbach,Goalkeeper,Tobias Sippel,"Mar 22, 1988 (31)",Germany,30.06.2021,£675k,Bundesliga
114,Borussia Mönchengladbach,Goalkeeper,Max Grün,"Apr 5, 1987 (32)",Germany,30.06.2020,£135k,Bundesliga
115,Borussia Mönchengladbach,Defender,Matthias Ginter,"Jan 19, 1994 (25)",Germany,30.06.2021,£31.50m,Bundesliga
116,Borussia Mönchengladbach,Defender,Nico Elvedi,"Sep 30, 1996 (22)",Switzerland,30.06.2021,£27.00m,Bundesliga
117,Borussia Mönchengladbach,Defender,Tony Jantschke,"Apr 7, 1990 (29)",Germany,30.06.2021,£2.70m,Bundesliga
118,Borussia Mönchengladbach,Defender,Mamadou Doucouré,"May 21, 1998 (21)",France,30.06.2021,£450k,Bundesliga
119,Borussia Mönchengladbach,Defender,Ramy Bensebaini,"Apr 16, 1995 (24)",Algeria,30.06.2023,£7.20m,Bundesliga
120,Borussia Mönchengladbach,Defender,Andreas Poulsen,"Oct 13, 1999 (19)",Denmark,30.06.2023,£2.70m,Bundesliga
121,Borussia Mönchengladbach,Defender,Oscar Wendt,"Oct 24, 1985 (33)",Sweden,30.06.2020,£1.80m,Bundesliga
122,Borussia Mönchengladbach,Defender,Stefan Lainer,"Aug 27, 1992 (27)",Austria,30.06.2024,£11.25m,Bundesliga
123,Borussia Mönchengladbach,Defender,Jordan Beyer,"May 19, 2000 (19)",Germany,30.06.2022,£2.25m,Bundesliga
124,Borussia Mönchengladbach,Midfielder,Denis Zakaria,"Nov 20, 1996 (22)",Switzerland,30.06.2022,£18.00m,Bundesliga
125,Borussia Mönchengladbach,Midfielder,Christoph Kramer,"Feb 19, 1991 (28)",Germany,30.06.2021,£9.00m,Bundesliga
126,Borussia Mönchengladbach,Midfielder,Tobias Strobl,"May 12, 1990 (29)",Germany,30.06.2020,£6.30m,Bundesliga
127,Borussia Mönchengladbach,Midfielder,Florian Neuhaus,"Mar 16, 1997 (22)",Germany,30.06.2021,£19.80m,Bundesliga
128,Borussia Mönchengladbach,Midfielder,Jonas Hofmann,"Jul 14, 1992 (27)",Germany,30.06.2023,£8.10m,Bundesliga
129,Borussia Mönchengladbach,Midfielder,Lászlo Bénes,"Sep 9, 1997 (22)",Slovakia,30.06.2021,£1.35m,Bundesliga
130,Borussia Mönchengladbach,Midfielder,Torben Müsel,"Jul 25, 1999 (20)",Germany,30.06.2020,£315k,Bundesliga
131,Borussia Mönchengladbach,Forward,Marcus Thuram,"Aug 6, 1997 (22)",France,30.06.2023,£8.10m,Bundesliga
132,Borussia Mönchengladbach,Forward,Fabian Johnson,"Dec 11, 1987 (31)",United States,30.06.2020,£2.70m,Bundesliga
133,Borussia Mönchengladbach,Forward,Keanan Bennetts,"Mar 9, 1999 (20)",England,30.06.2022,£1.80m,Bundesliga
134,Borussia Mönchengladbach,Forward,Patrick Herrmann,"Feb 12, 1991 (28)",Germany,30.06.2022,£4.05m,Bundesliga
135,Borussia Mönchengladbach,Forward,Ibrahima Traoré,"Apr 21, 1988 (31)",Guinea,30.06.2021,£1.80m,Bundesliga
136,Borussia Mönchengladbach,Forward,Lars Stindl,"Aug 26, 1988 (31)",Germany,30.06.2021,£9.00m,Bundesliga
137,Borussia Mönchengladbach,Forward,Raffael,"Mar 28, 1985 (34)",Brazil,30.06.2020,£2.25m,Bundesliga
138,Borussia Mönchengladbach,Forward,Alassane Plea,"Mar 10, 1993 (26)",France,30.06.2023,£27.00m,Bundesliga
139,Borussia Mönchengladbach,Forward,Breel Embolo,"Feb 14, 1997 (22)",Switzerland,30.06.2023,£12.60m,Bundesliga
140,Borussia Mönchengladbach,Forward,Julio Villalba,"Sep 17, 1998 (20)",Paraguay,-,£675k,Bundesliga
141,TSG 1899 Hoffenheim,Goalkeeper,Oliver Baumann,"Jun 2, 1990 (29)",Germany,30.06.2021,£7.20m,Bundesliga
142,TSG 1899 Hoffenheim,Goalkeeper,Philipp Pentke,"May 1, 1985 (34)",Germany,30.06.2021,£270k,Bundesliga
143,TSG 1899 Hoffenheim,Goalkeeper,Alexander Stolz,"Oct 13, 1983 (35)",Germany,30.06.2020,£90k,Bundesliga
144,TSG 1899 Hoffenheim,Defender,Kevin Vogt,"Sep 23, 1991 (27)",Germany,30.06.2022,£10.80m,Bundesliga
145,TSG 1899 Hoffenheim,Defender,Benjamin Hübner,"Jul 4, 1989 (30)",Germany,30.06.2022,£6.30m,Bundesliga
146,TSG 1899 Hoffenheim,Defender,Kevin Akpoguma,"Apr 19, 1995 (24)",Germany,30.06.2021,£5.85m,Bundesliga
147,TSG 1899 Hoffenheim,Defender,Stefan Posch,"May 14, 1997 (22)",Austria,30.06.2023,£4.95m,Bundesliga
148,TSG 1899 Hoffenheim,Defender,Ermin Bicakcic,"Jan 24, 1990 (29)",Bosnia-Herzegovina,30.06.2022,£3.60m,Bundesliga
149,TSG 1899 Hoffenheim,Defender,Lucas Ribeiro,"Jan 19, 1999 (20)",Brazil,30.06.2023,£2.70m,Bundesliga
150,TSG 1899 Hoffenheim,Defender,Konstantinos Stafylidis,"Dec 2, 1993 (25)",Greece,30.06.2023,£2.70m,Bundesliga
151,TSG 1899 Hoffenheim,Defender,Pavel Kaderabek,"Apr 25, 1992 (27)",Czech Republic,30.06.2023,£18.00m,Bundesliga
152,TSG 1899 Hoffenheim,Defender,Joshua Brenet,"Mar 20, 1994 (25)",Netherlands,30.06.2022,£4.05m,Bundesliga
153,TSG 1899 Hoffenheim,Midfielder,Diadie Samassékou,"Jan 11, 1996 (23)",Mali,30.06.2024,£18.00m,Bundesliga
154,TSG 1899 Hoffenheim,Midfielder,Sebastian Rudy,"Feb 28, 1990 (29)",Germany,30.06.2020,£8.10m,Bundesliga
155,TSG 1899 Hoffenheim,Midfielder,Dennis Geiger,"Jun 10, 1998 (21)",Germany,30.06.2022,£7.65m,Bundesliga
156,TSG 1899 Hoffenheim,Midfielder,Havard Nordtveit,"Jun 21, 1990 (29)",Norway,30.06.2022,£3.60m,Bundesliga
157,TSG 1899 Hoffenheim,Midfielder,Florian Grillitsch,"Aug 7, 1995 (24)",Austria,30.06.2022,£19.80m,Bundesliga
158,TSG 1899 Hoffenheim,Midfielder,Lukas Rupp,"Jan 8, 1991 (28)",Germany,30.06.2020,£2.25m,Bundesliga
159,TSG 1899 Hoffenheim,Midfielder,Steven Zuber,"Aug 17, 1991 (28)",Switzerland,30.06.2020,£6.30m,Bundesliga
160,TSG 1899 Hoffenheim,Midfielder,Robert Zulj,"Feb 5, 1992 (27)",Austria,30.06.2020,£1.35m,Bundesliga
161,TSG 1899 Hoffenheim,Midfielder,Christoph Baumgartner,"Aug 1, 1999 (20)",Austria,30.06.2023,£450k,Bundesliga
162,TSG 1899 Hoffenheim,Forward,Sargis Adamyan,"May 23, 1993 (26)",Armenia,30.06.2022,£2.70m,Bundesliga
163,TSG 1899 Hoffenheim,Forward,Philipp Ochs,"Apr 17, 1997 (22)",Germany,30.06.2020,£540k,Bundesliga
164,TSG 1899 Hoffenheim,Forward,Robert Skov,"May 20, 1996 (23)",Denmark,30.06.2024,£11.70m,Bundesliga
165,TSG 1899 Hoffenheim,Forward,Ihlas Bebou,"Apr 23, 1994 (25)",Togo,30.06.2023,£10.80m,Bundesliga
166,TSG 1899 Hoffenheim,Forward,Andrej Kramaric,"Jun 19, 1991 (28)",Croatia,30.06.2022,£34.20m,Bundesliga
167,TSG 1899 Hoffenheim,Forward,Ishak Belfodil,"Jan 12, 1992 (27)",Algeria,30.06.2022,£13.50m,Bundesliga
168,TSG 1899 Hoffenheim,Forward,Jürgen Locadia,"Nov 7, 1993 (25)",Netherlands,30.06.2020,£10.80m,Bundesliga
169,VfL Wolfsburg,Goalkeeper,Koen Casteels,"Jun 25, 1992 (27)",Belgium,30.06.2021,£11.70m,Bundesliga
170,VfL Wolfsburg,Goalkeeper,Pavao Pervan,"Nov 13, 1987 (31)",Austria,30.06.2021,£720k,Bundesliga
171,VfL Wolfsburg,Goalkeeper,Phillip Menzel,"Aug 18, 1998 (21)",Germany,30.06.2021,£135k,Bundesliga
172,VfL Wolfsburg,Goalkeeper,Niklas Klinger,"Oct 13, 1995 (23)",Germany,30.06.2020,£90k,Bundesliga
173,VfL Wolfsburg,Defender,John Anthony Brooks,"Jan 28, 1993 (26)",United States,30.06.2022,£13.50m,Bundesliga
174,VfL Wolfsburg,Defender,Robin Knoche,"May 22, 1992 (27)",Germany,30.06.2020,£7.20m,Bundesliga
175,VfL Wolfsburg,Defender,Marcel Tisserand,"Jan 10, 1993 (26)",DR Congo,30.06.2022,£4.05m,Bundesliga
176,VfL Wolfsburg,Defender,Jeffrey Bruma,"Nov 13, 1991 (27)",Netherlands,30.06.2021,£2.25m,Bundesliga
177,VfL Wolfsburg,Defender,Jérôme Roussillon,"Jan 6, 1993 (26)",France,30.06.2023,£18.00m,Bundesliga
178,VfL Wolfsburg,Defender,Paulo Otávio,"Nov 23, 1994 (24)",Brazil,30.06.2023,£900k,Bundesliga
179,VfL Wolfsburg,Defender,Kevin Mbabu,"Apr 19, 1995 (24)",Switzerland,30.06.2023,£9.00m,Bundesliga
180,VfL Wolfsburg,Defender,William,"Apr 3, 1995 (24)",Brazil,30.06.2022,£6.30m,Bundesliga
181,VfL Wolfsburg,Midfielder,Ignacio Camacho,"May 4, 1990 (29)",Spain,30.06.2021,£11.70m,Bundesliga
182,VfL Wolfsburg,Midfielder,Josuha Guilavogui,"Sep 19, 1990 (28)",France,30.06.2023,£10.80m,Bundesliga
183,VfL Wolfsburg,Midfielder,Xaver Schlager,"Sep 28, 1997 (21)",Austria,30.06.2023,£13.50m,Bundesliga
184,VfL Wolfsburg,Midfielder,Maximilian Arnold,"May 27, 1994 (25)",Germany,30.06.2022,£13.50m,Bundesliga
185,VfL Wolfsburg,Midfielder,Yannick Gerhardt,"Mar 13, 1994 (25)",Germany,30.06.2021,£9.00m,Bundesliga
186,VfL Wolfsburg,Midfielder,Elvis Rexhbecaj,"Nov 1, 1997 (21)",Germany,30.06.2023,£7.20m,Bundesliga
187,VfL Wolfsburg,Midfielder,Yunus Malli,"Feb 24, 1992 (27)",Turkey,30.06.2021,£4.50m,Bundesliga
188,VfL Wolfsburg,Forward,Josip Brekalo,"Jun 23, 1998 (21)",Croatia,30.06.2023,£9.00m,Bundesliga
189,VfL Wolfsburg,Forward,João Victor,"Mar 27, 1994 (25)",Brazil,30.06.2023,£2.70m,Bundesliga
190,VfL Wolfsburg,Forward,Renato Steffen,"Nov 3, 1991 (27)",Switzerland,30.06.2021,£4.50m,Bundesliga
191,VfL Wolfsburg,Forward,Felix Klaus,"Sep 13, 1992 (27)",Germany,30.06.2022,£2.70m,Bundesliga
192,VfL Wolfsburg,Forward,Ismail Azzaoui,"Jan 6, 1998 (21)",Belgium,30.06.2020,£765k,Bundesliga
193,VfL Wolfsburg,Forward,Admir Mehmedi,"Mar 16, 1991 (28)",Switzerland,30.06.2022,£9.00m,Bundesliga
194,VfL Wolfsburg,Forward,Wout Weghorst,"Aug 7, 1992 (27)",Netherlands,30.06.2023,£18.00m,Bundesliga
195,VfL Wolfsburg,Forward,Daniel Ginczek,"Apr 13, 1991 (28)",Germany,30.06.2022,£10.80m,Bundesliga
196,VfL Wolfsburg,Forward,Lukas Nmecha,"Dec 14, 1998 (20)",Germany,30.06.2020,£900k,Bundesliga
197,Hertha BSC,Goalkeeper,Rune Jarstein,"Sep 29, 1984 (34)",Norway,30.06.2021,£1.80m,Bundesliga
198,Hertha BSC,Goalkeeper,Thomas Kraft,"Jul 22, 1988 (31)",Germany,30.06.2020,£675k,Bundesliga
199,Hertha BSC,Goalkeeper,Dennis Smarsch,"Jan 14, 1999 (20)",Germany,30.06.2021,£180k,Bundesliga
200,Hertha BSC,Defender,Niklas Stark,"Apr 14, 1995 (24)",Germany,30.06.2022,£18.00m,Bundesliga
201,Hertha BSC,Defender,Karim Rekik,"Dec 2, 1994 (24)",Netherlands,30.06.2021,£13.50m,Bundesliga
202,Hertha BSC,Defender,Jordan Torunarigha,"Aug 7, 1997 (22)",Germany,-,£9.00m,Bundesliga
203,Hertha BSC,Defender,Dedryck Boyata,"Nov 28, 1990 (28)",Belgium,30.06.2022,£1.80m,Bundesliga
204,Hertha BSC,Defender,Florian Baak,"Mar 18, 1999 (20)",Germany,30.06.2021,£360k,Bundesliga
205,Hertha BSC,Defender,Maximilian Mittelstädt,"Mar 18, 1997 (22)",Germany,30.06.2023,£9.90m,Bundesliga
206,Hertha BSC,Defender,Marvin Plattenhardt,"Jan 26, 1992 (27)",Germany,30.06.2023,£9.00m,Bundesliga
207,Hertha BSC,Defender,Lukas Klünter,"May 26, 1996 (23)",Germany,30.06.2022,£2.70m,Bundesliga
208,Hertha BSC,Defender,Peter Pekarik,"Oct 30, 1986 (32)",Slovakia,30.06.2020,£720k,Bundesliga
209,Hertha BSC,Midfielder,Arne Maier,"Jan 8, 1999 (20)",Germany,30.06.2022,£21.60m,Bundesliga
